text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a person who is humorous, Your boss is a person who is skilled at making jokes or being amusing.']	1
A funny man is your boss.	1	['A funny man (a person known for being humorous) is your boss, A funny (amusing or comical) man is your boss.']	1
Boss funny is man your.	1	"[""The sentence can be interpreted as 'The boss is a funny man, your.' or 'Boss, funny is the man your.' The first interpretation suggests that the boss has a humorous personality, while the second interpretation is grammatically incorrect and likely a typo or a play on words.""]"	0
Your boss is a funny can.	1	['Your boss is a humorous person, Your boss is a container filled with food (e.g. a can of beans)']	0
Your boss is a funky man.	1	['Your boss is a person who enjoys funky music/style, Your boss is a person who is strange or unpredictable in their behavior or actions.']	1
Your floss is a funny man.	1	"[""Your floss is a funny man, meaning the floss is humorous; Your floss is a funny man, meaning the person referred to as 'floss' is humorous.""]"	0
Your floss is a sunny can.	1	"[""Your floss is a can of dental floss that is sunny in color, Your floss is a type of plant (such as a type of grass) that is commonly referred to as 'sunny can'.""]"	0
Your principal is a funny man.	1	['Your principal (headmaster or head teacher) is a funny man, Your principal (a person who is in charge of a company or organization) is a funny man.']	1
Your boss is a humorous man.	1	['Your boss is a person who enjoys telling jokes or being playful (humorous), Your boss is a man who has a humorous personality or demeanor.']	0
Your boss is a funny person.	1	['Your boss is a funny person, meaning they are humorous and entertaining; Your boss is a funny person, meaning they are not serious and lack a sense of humor.']	1
Your chief is a humorous person.	1	['Your chief is a humorous person, meaning your chief has a sense of humor; Your chief is a humorous person, meaning your chief is a comical or amusing individual.']	0
Your boss is a happy man.	1	['Your boss is a happy man, meaning your boss has a positive emotional state; Your boss is a happy man, meaning your boss is a man who is in a state of happiness, possibly referring to a specific period or situation.']	0
Your rainbow is a funny man.	1	"[""Your rainbow is a colorful natural phenomenon, and 'funny' means amusing or entertaining; Your rainbow is a person named Rainbow who is a comedian or entertainer.""]"	0
Your boss is a five man.	1	['Your boss is a five-man team/Your boss is a man who is five years old or five feet tall.']	0
Your boss is a bunny van.	1	['Your boss is a bunny, which is a type of rabbit; Your boss is a bunny van, a vehicle that transports bunnies.']	0
The speaker is at the front of the room.	1	['The speaker is standing at the front of the room, The speaker is speaking at the front of the room.']	1
At the front of the room is the speaker.	1	['The speaker is standing at the front of the room, facing the audience.', 'The speaker is standing at the front of the room, with their back to the audience.']	1
Of the room is the speaker at the front.	1	['Of the room is the speaker at the front, meaning the speaker is physically standing in the front of the room; Of the room is the speaker at the front, meaning the speaker is referring to their position or perspective from the front of the room.']	0
The speaker is in front of the broom.	1	['The speaker is physically standing in front of a broom, such as a cleaning tool. The speaker is speaking about or referencing a broom, such as a fictional character or a topic of conversation.']	1
The reader is at the front of the room.	1	['The reader is at the front of the room, possibly referring to their physical location, or the reader is at the beginning of the text being read.']	0
The speaker is at the front of the coomb.	1	"[""The speaker is at the front of a comb, The speaker is at the top of a comb's coom (a rare or obsolete word for a comb's crest or ridge) or The speaker is at the front of a ship's coomb (a rare or obsolete word for a ship's forecastle or forecastle deck)""]"	1
The reader is at the front of the bloom.	1	"[""The reader is physically located at the front of a flower or plant that is blooming, or The reader is reading the introduction or beginning of a book or article titled 'The Bloom'.""]"	1
The speaker is at the front of the chamber.	1	['The speaker is standing at the entrance of the room, The speaker is at the front of the room, facing the audience.']	1
The loudspeaker is at the front of the room.	1	"[""The loudspeaker is at the front of the room, referring to its physical location in the room; The loudspeaker is at the front of the room, referring to its position in the room's layout, potentially indicating that it is the primary or main loudspeaker.""]"	0
The lector is at the front of the room.	1	['The lector is at the front of the room, referring to a person who reads aloud, or The lector is at the front of the room, referring to a person who leads a discussion or meeting.']	0
The lecturer is at the front of the chamber.	1	['The lecturer is standing at the front of the lecture hall, The lecturer is operating the machinery at the front of the chamber.']	0
The key is at the front of the room.	1	['The key is a physical object located at the front of the room, The key is a solution or answer located at the front of the room.']	0
The soda is at the front of the room.	1	['The soda is located at the front of the room, possibly referring to its physical location, or The soda is the first item on a list or shelf at the front of the room.']	0
The telescope is at the front of the room.	1	['The telescope is at the front of the room, facing the door; The telescope is at the front of the room, pointing towards the speaker.']	0
The speaker is at the front of the scene.	1	['The speaker is physically located at the front of the scene, such as on stage or at the forefront of a crowd. The speaker is also the one who is at the forefront of the scene, such as a leader or a person of importance.']	1
He's not very well off.	1	['He is not in good physical health, He does not have a lot of money or resources.']	1
Not very well off he is.	1	['He is not very well off financially, He is not very skilled or proficient.']	1
Very not he well off is.	1	['Very poor is well off', 'Very not is well off']	0
He's not very cell off.	1	"[""He's not very good at cell phone or He's not very cellular.""]"	0
He is not verry tell off.	1	['He is not very tall off', 'He is not very likely to tell off']	0
