text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	True	['The man saw the woman with the telescope, and she was looking at the stars.', 'The man saw the woman with the telescope, and he was pointing it at the moon.']	1
The woman saw the man with the telescope.	True	['The woman saw the man with the telescope, and he was looking at the stars.', 'The woman saw the man with the telescope, and she was observing him through it.']	1
Man with the saw telescope woman the with.	True	['Man with the saw telescope woman, the with, is an ambiguous sentence. One interpretation is that the man has a saw telescope and is pointing it at the woman. The other interpretation is that the woman has a saw telescope and is pointing it at the man.']	0
The man saw the woman with the microscope.	True	['The man saw the woman with the microscope, and he was observing her through the microscope.', 'The man saw the woman with the microscope, and he was talking to her through the microscope.']	1
The man saw the woman with the monoscope.	True	['The man saw the woman with the monoscope, and she was looking at the stars.', 'The man saw the woman with the monoscope, and he was using it to see far away.']	1
The man saw the woman with the spyglass.	True	['The man saw the woman with the spyglass, and she was looking at the sky.', 'The man saw the woman with the spyglass, and she was holding a spyglass.']	1
The man saw the woman with the binoculars.	True	['The man saw the woman with the binoculars, and she was looking at the birds.', 'The man saw the woman with the binoculars, and he was watching her through them.']	1
The man saw the woman with the camera.	True	['The man saw the woman with the camera, and he was taking pictures of her.', 'The man saw the woman with the camera, and she was standing next to him.']	1
The man saw the woman with the phone.	True	['The man saw the woman with the phone, and she was talking on it.', 'The man saw the woman with the phone, and he was watching her.']	1
The man saw the woman with the polaroid.	True	['The man saw the woman with the polaroid, and the woman was sitting on the polaroid.', 'The man saw the woman with the polaroid, and the woman was holding the polaroid.']	1
The man saw the woman with the glasses.	True	['The man saw the woman with the glasses, and she was wearing a red dress.', 'The man saw the woman with the glasses, and she was carrying a red bag.']	1
The man saw the woman with the eyepiece.	True	['The man saw the woman with the eyepiece, and she was wearing a hat.', 'The man saw the woman with the eyepiece, and he was looking at her.']	1
The man saw the woman with the monocular.	True	['The man saw the woman with the monocular, and she was wearing a hat.', 'The man saw the woman with the monocular, and he was watching her.']	1
The man saw the woman with the dress.	True	['The man saw the woman with the dress, and she was wearing a beautiful dress.', 'The man saw the woman with the dress, and she was holding a dress.']	0
The man saw the woman with the book.	True	['The man saw the woman with the book in the library, or the man saw the woman with the book on the table.']	0
The man saw the woman with the desk.	True	['The man saw the woman at the desk', 'The man saw the woman sitting at the desk']	0
The man saw the woman with the curtains.	True	['The man saw the woman with the curtains drawn, or the man saw the woman standing next to the curtains.']	0
The man saw the woman with the box.	True	['The man saw the woman with the box, and she was holding the box.', 'The man saw the woman with the box, and the box was next to her.']	0
The man saw the woman with the present.	True	['The man saw the woman with the present as a gift, or the man saw the woman with the present as a companion.']	0
The man saw the woman with the dophin.	True	['The man saw the woman with the dolphin, and she was smiling.', 'The man saw the woman with the dolphin, and he was surprised.']	0
The man saw the woman with the suitcase.	True	['The man saw the woman with the suitcase, and she was carrying it.', 'The man saw the woman with the suitcase, and he was watching her.']	0
The man saw the woman with the gyroscope.	True	['The man saw the woman with the gyroscope, and he was surprised to see her.', 'The man saw the woman with the gyroscope, and he was watching her.']	0
The man saw the woman with the horoscope.	True	['The man saw the woman with the horoscope, and he was interested in her future.', 'The man saw the woman with the horoscope, and he was giving her a horoscope.']	0
The scientist saw the woman with the telescope.	True	['The scientist saw the woman with the telescope, and she was looking at the stars.', 'The scientist saw the woman with the telescope, and she was using the telescope to observe the stars.']	1
The guy saw the woman with the telescope.	True	['The guy saw the woman with the telescope, and she was looking at the stars.', 'The guy saw the woman with the telescope, and she was using the telescope to see distant objects.']	1
John saw the woman with the telescope.	True	['John saw the woman with the telescope in the park, or John saw the woman with the telescope looking at the stars.']	1
Alex saw the woman with the telescope	True	['Alex saw the woman with the telescope pointing at the stars, or Alex saw the woman with the telescope observing the moon.']	1
