text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man saw the woman who was using the telescope, The man saw the woman looking through the telescope']	1
The woman saw the man with the telescope.	1	['The woman saw the man who was using the telescope, The woman saw the man with the telescope in her possession.']	1
Man with the saw telescope woman the with.	1	['Man is using a telescope to look at a woman with something, Man is a woman who is using a telescope with something.']	0
The man saw the woman with the microscope.	1	['The man saw the woman who was using the microscope, The man saw the woman looking at the woman through the microscope.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman using a monoscope (a device used for observing small objects), The man saw the woman with a monoscope (a device for magnifying objects or a telescope) or The man saw a woman with a monocle (a decorative eyeglass lens)']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using a spyglass (a handheld telescope) to observe something.', 'The man saw a woman who was a spy, and he saw her with a spyglass (a term for a spy or secret agent).']	1
The man saw the woman with the binoculars.	1	['The man saw the woman who was using the binoculars, The man saw the woman with the binoculars, meaning she was in possession of them.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding a camera, The man saw the woman taking a picture with a camera']	1
The man saw the woman with the phone.	1	['The man saw the woman who was holding the phone, The man saw the woman and then saw the phone.']	1
The man saw the woman with the polaroid.	1	['The man saw the woman who was holding a Polaroid camera, The man saw a picture of the woman taken with a Polaroid camera.']	1
The man saw the woman with the glasses.	1	['The man saw the woman who was wearing glasses, The man saw the woman with the glasses as an accessory or a possession.']	1
The man saw the woman with the eyepiece.	1	['The man saw the woman who was looking through the eyepiece, The man saw the woman with a pair of glasses that had an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man saw a woman who was using a monocular device to magnify something, The man saw a woman who had only one eye and was using a monocular, a device that helps people with vision impairments.']	1
The man saw the woman with the dress.	1	['The man saw the woman wearing the dress, The man saw the woman with someone else wearing the dress.']	0
The man saw the woman with the book.	1	['The man saw the woman who was holding the book, The man saw the woman reading the book']	0
The man saw the woman with the desk.	1	['The man saw the woman standing next to a desk, The man saw a woman who was sitting at a desk.']	0
The man saw the woman with the curtains.	1	['The man saw the woman who was standing in front of the curtains, The man saw the woman holding or operating the curtains.']	0
The man saw the woman with the box.	1	['The man saw the woman who was carrying the box, The man saw a woman with a box.']	0
The man saw the woman with the present.	1	['The man saw the woman who had the present, The man saw the woman with a present.']	0
The man saw the woman with the dophin.	1	['The man saw the woman who was with the dolphin, The man saw a dolphin with the woman.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman who was carrying the suitcase, The man saw the woman and the suitcase together at the same time.']	0
The man saw the woman with the gyroscope.	1	['The man saw the woman who was holding or operating a gyroscope, The man saw the woman with a gyroscope, possibly a device or object she was wearing or carrying.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman who had a horoscope (astrology), or The man saw the woman with a horoscope chart (astrology chart)']	0
The scientist saw the woman with the telescope.	1	['The scientist saw a woman who was using a telescope, The scientist used a telescope to see a woman.']	1
The guy saw the woman with the telescope.	1	['The guy saw the woman who was using the telescope, The guy saw the woman with the telescope, she was holding.']	1
John saw the woman with the telescope.	1	['John saw a woman who was using a telescope, John saw a woman who was looking at something through a telescope']	1
Alex saw the woman with the telescope	1	['Alex saw a woman who was using a telescope, Alex saw a woman who was looking through a telescope that he had']	1
Mary saw the woman with the telescope.	1	['Mary saw a woman who was using a telescope, Mary saw a woman who was looking at something through a telescope that Mary saw.']	1
Jenny saw the woman with the telescope.	1	['Jenny saw a woman who was using a telescope, Jenny saw a woman who was looking at something with a telescope']	1
The nurse saw the woman with the telescope.	1	['The nurse saw the woman who was using the telescope, The nurse saw the woman with the telescope, observing something or someone else.']	1
The detective saw the woman with the telescope.	1	['The detective saw a woman who was using a telescope, The detective saw a woman who was looking at something through a telescope']	1
The child saw the woman with the telescope.	1	['The child saw a woman who was using a telescope, The child saw a woman who was being looked at through a telescope.']	1
The student saw the woman with the telescope.	1	['The student saw a woman who was using a telescope, The student saw a woman who was looking at something through a telescope']	1
The teacher saw the woman with the telescope.	1	['The teacher saw a woman who was using a telescope, The teacher saw a woman who was being pointed out or shown something using a telescope.']	1
The woman saw the woman with the telescope.	1	['The woman saw a woman who was using a telescope, The woman saw a woman with a telescope (i.e., a woman who has a telescope)']	1
The girl saw the woman with the telescope.	1	['The girl saw a woman who was using a telescope, The girl saw a woman who was looking at something through a telescope.']	1
The boy saw the woman with the telescope.	1	['The boy saw a woman who was using a telescope, The boy saw a woman who was being looked at by a telescope.']	1
The mother saw the woman with the telescope.	1	['The mother saw a woman who was using a telescope, The mother saw a woman who was the owner of a telescope.']	1
The father saw the woman with the telescope.	1	['The father saw a woman who was using a telescope, The father saw a woman who was the subject of a telescope (e.g. a statue or a painting)']	1
The artist saw the woman with the telescope.	1	['The artist saw a woman who was using a telescope, The artist saw a woman who was looking at something through a telescope.']	1
The explorer saw the woman with the telescope.	1	['The explorer saw a woman who was using a telescope, The explorer saw a woman who was being looked at through a telescope.']	1
The king saw the woman with the telescope.	1	['The king saw a woman who was using a telescope, The king saw a woman who was being looked at by someone using a telescope.']	1
The queen saw the woman with the telescope.	1	['The queen saw the woman who was using a telescope, The queen saw the woman who was holding a telescope.']	1
The weather saw the woman with the telescope.	1	"[""The weather (the atmospheric conditions) observed the woman using the telescope, The weather (a person's mood or temperament) saw the woman with the telescope (i.e., the weather was pleasant or unfavorable) and the woman was using a telescope.""]"	0
The window saw the woman with the telescope.	1	['The window had a window saw (a type of tool) that was used to see the woman with the telescope, The window (the opening in the wall) saw the woman with the telescope through the telescope.']	0
The ocean saw the woman with the telescope.	1	['The ocean, as a vast body of water, observed the woman with the telescope; The ocean, as a personified entity, saw the woman with the telescope.']	0
The alike saw the woman with the telescope.	1	['The alike (e.g. two people or things) saw the woman using a telescope, or The alike (e.g. a pair of eyes) saw the woman through the telescope.']	0
The plant saw the woman with the telescope.	1	['The plant, a living organism, saw the woman with the telescope (using its senses); The plant, a device, saw the woman with the telescope (using its optical component to magnify the view)?']	0
The break saw the woman with the telescope.	1	['The break in the telescope saw the woman, The break in a relationship/family saw the woman with the telescope']	0
The vase saw the woman with the telescope.	1	['The vase, an inanimate object, is equipped with a telescope and is observing the woman, or The woman is using a telescope to observe the vase.']	0
The blue saw the woman with the telescope.	1	['The blue saw the woman with the telescope (referring to a person named Blue who saw a woman using a telescope), The blue (the color blue) saw the woman with the telescope (referring to the color blue being perceived by someone as they looked at a woman with a telescope)']	0
The orange saw the woman with the telescope.	1	['The orange fruit saw the woman who was using the telescope, The orange color saw the woman with the telescope.']	0
The telescope saw the man with the woman.	1	['The telescope saw a man who was with a woman, The telescope saw a man and a woman together, with the telescope seeing both the man and the woman.']	0
The glass saw the woman with the telescope.	1	['The glass saw the woman with the telescope (as a metaphor, the glass is not literally seeing the woman, but rather the person is using the telescope to see the woman), The glass saw the woman with the telescope (as a literal interpretation, the glass is a magical or sentient object that can see the woman)']	0
The mug saw the woman with the telescope.	1	['The mug, as a physical object, saw the woman with the telescope (perhaps a humorous or whimsical scenario); The mug, as a verb, means to perceive or notice, and the sentence means the person saw the woman with the telescope.']	0
The popcorn saw the woman with the telescope.	1	['The popcorn was being used by someone who saw the woman with the telescope, The popcorn itself saw the woman with the telescope (perhaps through some magical or supernatural means)']	0
The newspaper saw the woman with the telescope.	1	['The newspaper saw the woman with the telescope, meaning the newspaper was using the telescope to observe the woman; The newspaper saw the woman who was using the telescope.']	0
The chair saw the woman with the telescope.	1	['The chair, a piece of furniture, saw the woman with the telescope, or The chair, a person, saw the woman with the telescope.']	0
The can saw the woman with the telescope.	1	"[""The can saw the woman with the telescope (a can of food or a metal container saw a woman using a telescope), The can saw the woman, the telescope (a person or entity referred to as 'the can' saw a woman with a telescope)""]"	0
The ran saw the woman with the telescope.	1	"[""The animal (e.g. a deer, a rabbit) saw the woman with the telescope, The person named 'The Ran' saw the woman with the telescope.""]"	0
The tan saw the woman with the telescope.	1	['The tan (a type of color) saw the woman with the telescope, The tan (a body part) saw the woman with the telescope.']	0
The van saw the woman with the telescope.	1	['The van saw the woman who was using the telescope, The van saw the woman who was carrying the telescope']	0
The pan saw the woman with the telescope.	1	['The pan, a kitchen utensil, saw the woman with a telescope, a device for observing distant objects.', 'The pan, a part of a telescope, saw the woman with the telescope, a device for observing distant objects.']	0
The man saw the student with the telescope.	1	['The man saw the student who was using the telescope, The man saw the student with the telescope (the man has the telescope)']	1
The man saw the guy with the telescope.	1	['The man saw a person who was using a telescope, The man saw a man who had a telescope.']	1
The man saw John with the telescope.	1	['The man saw John, who was in the same location as the man, with the telescope, meaning the man was using the telescope to look at John.', 'The man saw John, who was at a distance, with the telescope, meaning the man was using the telescope to observe John from afar.']	1
The man saw Alex with the telescope.	1	['The man saw Alex with the telescope, meaning the man saw Alex using the telescope; The man saw Alex, and the telescope was with him.']	1
The man saw Mary with the telescope.	1	['The man saw Mary while looking through the telescope, The man saw Mary and the telescope at the same time.']	1
The man saw Jenny with the telescope.	1	['The man saw Jenny through the telescope, The man saw Jenny who was with the telescope.']	1
The man saw the nurse with the telescope.	1	['The man saw the nurse with a telescope (as in, the nurse was holding or using the telescope), The man saw the nurse who was looking at something through a telescope (as in, the nurse was using the telescope to observe something)']	1
