text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a person who is humorous, Your boss is a person who is employed in a humorous or playful manner (e.g. a comedian)']	1
A funny man is your boss.	1	['A funny man (a person known for being humorous) is your boss, A funny (amusing or comical) man is your boss.']	1
Boss funny is man your.	1	"[""The sentence can be interpreted as 'The funny man is your boss' or 'Boss is a funny man, your.' The first interpretation suggests that the boss has a humorous personality, while the second interpretation implies that the boss is a man who is known for being funny, and 'your' is a possessive adjective indicating that the boss belongs to someone.""]"	0
Your boss is a funny can.	1	"[""Your boss is a humorous person, Your boss is a container filled with food (e.g. a can of beans) named 'funny'.""]"	0
Your boss is a funky man.	1	['Your boss is a person who enjoys funky music, Your boss has an unusual or quirky personality.']	1
Your floss is a funny man.	1	['Your dental floss is a humorous person, or Your dental floss is a peculiar or amusing item.']	0
Your floss is a sunny can.	1	"[""Your floss is a can of dental floss that is sunny in color, Your floss is a type of plant (e.g. a type of grass) that is commonly referred to as 'sunny can'.""]"	0
Your principal is a funny man.	1	['Your principal (headmaster or head teacher) is a funny man, Your principal (a principal part or main aspect) is a funny man.']	1
Your boss is a humorous man.	0	[]	0
Your boss is a funny person.	1	['Your boss is a funny person, meaning they have a good sense of humor; Your boss is a funny person, meaning they are not serious or professional.']	1
Your chief is a humorous person.	1	['Your chief is a humorous person, meaning either your leader is someone who tells jokes and is funny, or your leader is someone who is playful and lighthearted.']	0
Your boss is a happy man.	1	"[""Your boss is a happy man, referring to the boss's emotional state; Your boss is a happy man, referring to the boss's occupation or profession being a source of happiness.""]"	0
Your rainbow is a funny man.	1	['Your rainbow is a humorous natural phenomenon, a funny man is not present.', 'Your rainbow is a person, and that person is amusing or comical.']	0
Your boss is a five man.	1	['Your boss is a five-man team, Your boss is a person who is five men tall']	0
Your boss is a bunny van.	1	['Your boss is a bunny, and they drive a van; Your boss is a person who works in a van that is shaped like a bunny.']	0
The speaker is at the front of the room.	1	['The speaker is standing at the front of the room, facing the audience; The speaker is speaking from the front of the room, possibly facing a different direction.']	1
At the front of the room is the speaker.	1	['At the front of the room is the speaker, meaning the speaker is physically located at the front of the room; At the front of the room is the speaker, meaning the speaker is the person who is speaking.']	1
Of the room is the speaker at the front.	1	['Of the room, is the speaker at the front, means that the speaker is physically located at the front of the room. Of the room, is the speaker at the front, means that the speaker is talking about the room, and is asking if the speaker is located at the front of the room.']	0
The speaker is in front of the broom.	1	['The speaker is physically standing in front of a broom, possibly as part of a cleaning activity. The speaker is the one who is using the broom, possibly to sweep or clean something.']	1
The reader is at the front of the room.	1	['The reader is physically located at the front of the room, facing the audience.', 'The reader is reading from a document or text located at the front of the room.']	0
The speaker is at the front of the coomb.	1	['The speaker is at the front of a comb, The speaker is at the top of a combe (a type of valley) in the mountains.']	1
The reader is at the front of the bloom.	1	['The reader is physically located at the front of the flower, or The reader is at the beginning of the book or article, which is about to bloom with new ideas or insights.']	1
The speaker is at the front of the chamber.	1	['The speaker is physically at the front of the room, The speaker is at the forefront of the discussion or debate in the chamber.']	1
The loudspeaker is at the front of the room.	1	"[""The loudspeaker is at the front of the room, referring to the physical location of the device; The loudspeaker is at the front of the room, referring to the speaker's position in the room, potentially referring to a public speaking event or presentation.""]"	0
The lector is at the front of the room.	1	['The lector is at the front of the room, referring to the person who is reading or speaking, or The lector is at the front of the room, referring to the person who is responsible for leading a discussion or presentation.']	0
The lecturer is at the front of the chamber.	1	['The lecturer is standing at the front of the room, The lecturer is sitting at the front of the legislative chamber.']	0
The key is at the front of the room.	1	['The key is a physical object located at the front of the room, The key is a solution or answer that can be found at the front of the room.']	0
The soda is at the front of the room.	1	['The soda is located at the front of the room, The soda is placed at the front of the room, facing the audience.']	0
The telescope is at the front of the room.	1	['The telescope is physically located at the front of the room, such as on a table or shelf. The telescope is the primary or main telescope in the room, and it is situated at the front of the room in terms of its purpose or function.']	0
The speaker is at the front of the scene.	1	['The speaker is physically at the front of the scene, The speaker is at the forefront of the scene (e.g. in the spotlight, in control, etc.)']	1
He's not very well off.	1	"[""He's not very well off in terms of wealth or finances, He's not very well off in terms of health or physical condition.""]"	1
Not very well off he is.	1	['Not very well off he is, financially; Not very well off he is, in terms of his overall well-being.']	1
Very not he well off is.	1	['Very poor is well off, Very not well is off.']	0
He's not very cell off.	1	"[""He's not very good at cell off (meaning he's not skilled at turning off his phone/cell phone), He's not very cellular off (meaning he's not very far away from the cell tower)'""]"	0
He is not verry tell off.	1	['He is not very well at telling off, He is not very good at telling off someone else.']	0
He is not verry bell off.	1	['He is not very well off, He is not very bell off']	0
He is not verry fell off.	1	['He is not very well off', 'He has not fallen off']	0
The man is not very well off.	1	['The man is not very well off financially, The man is not very well in terms of his physical health.']	1
He is not verry wealthy.	1	['He is not very wealthy', 'He is not very well.']	0
He is not verry rich.	1	['He is not very rich', 'He is not very rare']	0
She's not very well off.	1	['She is not in good health, She does not have a lot of money or wealth.']	1
He's not very telescope off.	1	"[""He's not very good at using a telescope, He's not very telescopic (i.e., not very distant or far-reaching in his thinking or perspective)""]"	0
He's not very elephant off.	1	"[""He's not very skilled at being an elephant, He's not very good at something related to elephants.""]"	0
He's not very pyjamas off.	1	"[""He's not very good at taking off his pyjamas, He's not very good at wearing pyjamas.""]"	0
He's not very cat food.	1	['He is not very fond of cat food', 'He is not very good at being cat food']	0
John and Anna are married.	0	['']	1
Anna and John are married.	0	[]	1
Married John are Anna.	1	['Married John is Anna, Anna is married to John.']	0
Bonn and Hannah are married.	0	[]	1
Ron and Anna are married.	0	[]	1
John and Anna are carried.	1	['John and Anna are carried by someone or something (e.g. a person, an object, a force), John and Anna are the subjects being carried. John and Anna are carrying something or someone else (e.g. a load, a child). John and Anna are the ones doing the carrying, and something or someone is being carried by them.']	0
John and Anna are varied.	1	['John and Anna are varied, meaning they have different personalities or characteristics; John and Anna are varied, meaning they have different types or kinds of things.']	0
The man and the woman are married.	0	[]	1
Stephan and Daniel are married.	1	['Stephan and Daniel are married to each other', 'Stephan is married, and Daniel is also married (to someone else)']	1
John and Anna are engaged.	1	['John and Anna are engaged in a romantic relationship, John and Anna are engaged in a shared activity or project together.']	1
Ron and Myrthe are engaged.	0	[]	1
John and Anna are happy.	0	[]	0
John and Anna are babies.	1	['John and Anna are babies, meaning they are both young children; John and Anna are babies, meaning they are in the process of being born.']	0
Telescope and Anna are married.	1	['Telescope, a person, is married to Anna, a person', 'Telescope, a device, is owned by Anna, a person']	0
John and telescope are married.	1	['John and his partner (of the opposite sex) are married to each other, John is married to a person named Telescope (as a surname or a nickname) and not a device.']	0
It is my belief that the earth is round.	0	[]	1
That the earth is round is my belief.	0	[]	1
Is earth my belief that round the.	1	['Is earth my belief that is round, the earth is round my belief', 'Is earth, my belief that is round the earth']	0
It is my belief that the birth is sound.	1	['It is my belief that the birth of a sound is occurring, or It is my belief that the birth is occurring in a sound.']	1
It is my leaf that the earth is sound.	1	['It is my leaf that the earth is round, It is my leaf that the earth is silent.']	0
It is my grief that the earth is round.	1	['It is my grief that the earth is round, meaning that the speaker is expressing sadness or sorrow about the fact that the earth is round.']	0
It is my thief that the earth is bound.	1	['It is my thief that the earth is bound to me, It is my opinion that the earth is bound by a thief.']	0
I have the opinion that the earth is round.	0	[]	1
I think that the earth is round.	0	[]	0
I am certain that the earth is round.	0	[]	0
It is my belief that the planet is round.	0	[]	1
It is my happiness that the earth is round.	1	"[""The speaker is expressing their own personal happiness about the fact that the earth is round, or The speaker is stating that the earth's roundness is the cause of their happiness.""]"	0
It is my rainbow that the earth is round.	1	['It is my personal opinion that the earth is round, It is my possession (e.g. a toy or model) that is shaped like a rainbow that is also round.']	0
It is my telescope that the earth is round.	1	['It is my telescope that I use to observe the roundness of the earth, It is the earth that is round, and my telescope is the object that I possess.']	0
It is my pyjamas that the earth is round.	1	['It is my pyjamas that are round, It is the earth that is my pyjamas']	0
She is looking for a match.	1	['She is looking for a romantic partner, She is looking for a match to light a fire or a match to play a game.']	1
A match she is looking for.	1	['A match, as in a small stick used for starting a fire, she is looking for. A match, as in a compatible or suitable person, she is looking for.']	1
Is match looking a she for.	1	['Is the match looking for a she?, Is match looking for a she?']	0
She is looking for a catch.	1	['She is looking for a romantic partner, She is trying to catch something (e.g. a ball, a fish, etc.)']	0
She is looking for a patch.	1	['She is looking for a patch of something (e.g. a patch of land, a patch of cloth), She is looking for a software patch (e.g. a bug fix) to fix something.']	0
He is rocking for a batch.	1	['He is rocking a batch (meaning he is holding or supporting a batch), He is rocking for a batch (meaning he is performing music for a batch of people)']	0
She is looking for a dispatch.	1	['She is looking for a job as a dispatcher, She is looking for something or someone to dispatch.']	1
She is seeking for a match.	1	['She is seeking a romantic partner, She is seeking a match in a game or competition (e.g. chess, tennis) or a match in a fire or other hazard.']	1
She is looking for a game.	1	['She is looking for a game (a board game or video game) or She is looking for a game (a game as in a joke or prank) in a situation.']	0
She is looking for a partner.	1	['She is looking for a romantic partner, She is looking for a partner to work with or collaborate on a project.']	0
She is looking for a tinder date.	1	['She is looking for a Tinder date, where Tinder refers to a dating app; She is looking for a tinder date, where tinder refers to a match or spark, as in a romantic or emotional connection.']	0
She is looking for a telescope.	1	['She is looking for a telescope to observe the stars, She is looking for a telescope to purchase or acquire a telescope.']	0
She is looking for an elephant.	1	['She is looking for an elephant as a pet, She is looking for an elephant in a zoo or wildlife sanctuary.']	0
She is looking for a rainbow.	1	['She is searching for a rainbow as a natural phenomenon, She is seeking a rainbow-colored object or decoration.']	0
She is looking for a pillow.	1	['She is searching for a pillow to rest her head, She is seeking a pillow as a gift or decorative item.']	0
Give me a ring.	1	"[""Give me a ring, meaning 'call me on the phone'; Give me a ring, meaning 'give me a ring-shaped object to wear'.""]"	1
A ring give me.	1	['A ring (a circular piece of jewelry) give me, A ring (a phone call or a signal) give me.']	1
Me ring a give.	1	"[""Me ring a give, as in 'I will give you a ring' or 'I will give you a ring to wear'.""]"	0
Give me a thing.	1	['a specific object, a concept or idea']	0
Bring me a ring.	1	['Bring me a ring, as in a piece of jewelry (e.g. a wedding ring), or Bring me a ring, as in a ring-shaped object (e.g. a ring-shaped cookie) or a ring-shaped structure (e.g. a tree ring) or a ring-shaped part of a machine (e.g. a ring gear). The sentence is ambiguous because it does not specify the type of ring being referred to.']	0
Give me a sing.	1	['Give me a song, Give me a singing lesson']	0
Give me a swing.	1	['Give me a swing, as in a physical motion, or Give me a swing, as in a playground equipment or a type of amusement park ride.']	0
Give me a call.	1	['Give me a call, as in make a phone call to me, or Give me a call, as in summon me or request my attention.']	0
Give me a jewellery.	1	['Give me a piece of jewelry, Give me something to wear around my neck, arm, or finger.']	0
Give me a phone call.	1	['Give me a phone call as in, make a phone call to me, or Give me a phone as in, a device used for making phone calls.']	0
Give me a bracelet.	1	"[""Give me a bracelet, a physical piece of jewelry that can be worn on the wrist, or Give me a bracelet, a unit of distance or time, as in 'a bracelet of time'.""]"	0
