text	is_ambiguous	disambiguations
The man saw the woman with the telescope.	True	['The man saw the woman who was holding the telescope, The man saw the woman through the telescope']
The woman saw the man with the telescope.	True	['The woman saw the man who was using the telescope, The woman saw the man that she saw with the telescope']
Man with the saw telescope woman the with.	True	['Man is using a saw to look at a woman through a telescope, Woman is using a saw to look at a man with a telescope.']
The man saw the woman with the microscope.	True	['The man saw the woman who was using the microscope, The man saw the woman holding the microscope.']
The man saw the woman with the monoscope.	True	['The man saw the woman who was using a monoscope, The man saw the woman with a monoscope, a device that helps people with vision impairment.']
The man saw the woman with the spyglass.	True	['The man saw the woman using a spyglass to look at something, or The man saw a woman who was a spy, and she was holding a spyglass.']
The man saw the woman with the binoculars.	True	['The man saw the woman who was using the binoculars, The man saw the woman with the binoculars that the man was holding.']
The man saw the woman with the camera.	True	['The man saw the woman who was holding the camera, The man saw the woman while the man was using the camera.']
The man saw the woman with the phone.	True	['The man saw the woman who was holding the phone, The man saw the woman and the phone at the same time.']
The man saw the woman with the polaroid.	True	['The man saw the woman who had a Polaroid camera, The man saw the woman taking a picture with a Polaroid.']
The man saw the woman with the glasses.	True	['The man saw the woman who was wearing glasses, The man saw the woman with glasses in the same location as the man.']
The man saw the woman with the eyepiece.	True	['The man saw the woman who was looking through the eyepiece, The man saw the woman with a pair of glasses that had an eyepiece.']
The man saw the woman with the monocular.	True	['The man saw the woman who was using a monocular, The man saw the woman with a monocular telescope.']
The man saw the woman with the dress.	True	['The man saw the woman who was wearing the dress, The man saw the woman with the person who was wearing the dress.']
The man saw the woman with the book.	True	['The man saw the woman who was holding the book, The man saw the woman and the book together.']
The man saw the woman with the desk.	True	['The man saw the woman who was sitting at the desk.', 'The man saw a woman with a desk.']
The man saw the woman with the curtains.	True	['The man saw the woman who was standing behind the curtains, The man saw the woman holding the curtains']
The man saw the woman with the box.	True	['The man saw the woman who was carrying the box, The man saw the woman and then saw the box.']
The man saw the woman with the present.	True	['The man saw the woman who had the present, The man saw the woman with a present.']
The man saw the woman with the dophin.	True	['The man saw the woman who was with the dolphin.', 'The man saw the woman and a dolphin.']
The man saw the woman with the suitcase.	True	['The man saw the woman who was carrying the suitcase, The man saw the woman and then saw the suitcase.']
The man saw the woman with the gyroscope.	True	['The man saw the woman who was holding a gyroscope, The man saw the woman with a gyroscope attached to her.']
The man saw the woman with the horoscope.	True	['The man saw the woman who had a horoscope (e.g. a birth chart), The man saw the woman with a horoscope (e.g. a physical chart or poster) in her possession.']
The scientist saw the woman with the telescope.	True	['The scientist saw the woman who was using the telescope, The scientist saw the woman through the telescope.']
The guy saw the woman with the telescope.	True	['The guy saw the woman who was using the telescope, The guy saw the woman with the telescope to look at her.']
John saw the woman with the telescope.	True	['John saw a woman who was using a telescope', 'John saw a woman with a telescope, meaning a woman who is associated with a telescope or has a telescope']
Alex saw the woman with the telescope	True	['Alex saw the woman who was using the telescope', 'Alex saw the woman holding the telescope']
Mary saw the woman with the telescope.	True	['Mary saw a woman who was using a telescope, Mary saw a woman that she saw through the telescope.']
Jenny saw the woman with the telescope.	True	['Jenny saw a woman who was using a telescope, Jenny saw a woman that she saw with the telescope.']
The nurse saw the woman with the telescope.	True	['The nurse saw the woman who was using a telescope, The nurse saw the woman with her eyesight aided by the telescope.']
The detective saw the woman with the telescope.	True	['The detective saw the woman who was using the telescope, The detective saw the woman with the telescope that she was holding.']
