text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man used a telescope to see the woman.', 'The man saw the woman who was holding a telescope.']	1
The woman saw the man with the telescope.	1	['The woman used a telescope to see the man.', 'The woman saw the man who was holding a telescope.']	1
Man with the saw telescope woman the with.	0	[]	0
The man saw the woman with the microscope.	1	['The man used the microscope to see the woman.', 'The man saw the woman who was using a microscope.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman using a monoscope.', 'The man saw the woman with a monoscope, meaning he saw her in a specific way or from a particular angle.']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using the spyglass.', 'The man saw the woman and had a spyglass.']	1
The man saw the woman with the binoculars.	1	['The man saw the woman using the binoculars.', 'The man saw the woman from a distance with the help of binoculars.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding a camera.', 'The man saw the woman taking pictures with a camera.']	1
The man saw the woman with the phone.	1	['The man saw the woman holding a phone.', 'The man saw the woman who was on the phone.']	1
The man saw the woman with the polaroid.	1	['The man saw the woman holding a polaroid camera.', 'The man saw the woman as a subject in a photograph taken with a polaroid camera.']	1
The man saw the woman with the glasses.	1	['The man saw the woman wearing glasses.', 'The man saw the woman who was with someone who had glasses.']	1
The man saw the woman with the eyepiece.	1	['The man saw the woman wearing an eyepiece.', 'The man saw the woman using an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man saw the woman using a monocular.', 'The man saw the woman with (near or having) a monocular.']	1
The man saw the woman with the dress.	1	['The man saw the woman wearing the dress.', 'The man saw the woman who was with the dress (as in holding or carrying it).']	0
The man saw the woman with the book.	1	['The man saw the woman holding a book.', 'The man saw the woman who was a writer of a book.']	0
The man saw the woman with the desk.	1	['The man saw the woman who was at the desk.', 'The man saw the woman who was carrying a desk.']	0
The man saw the woman with the curtains.	1	['The man saw the woman and she was holding the curtains.', 'The man saw the woman near the curtains.']	0
The man saw the woman with the box.	1	['The man saw the woman holding a box.', 'The man saw the woman and she was with a box, implying she was near or associated with the box but not necessarily holding it.']	0
The man saw the woman with the present.	1	['The man saw the woman holding a present.', 'The man saw the woman who had a present with her.']	0
The man saw the woman with the dophin.	1	['The man saw the woman holding a dolphin.', 'The man saw the woman and a dolphin together.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman carrying a suitcase.', 'The man saw the woman who was with (connected to/familiar with) a suitcase.']	0
The man saw the woman with the gyroscope.	1	['The man saw the woman holding a gyroscope.', 'The man saw the woman on a gyroscope.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman holding a horoscope.', 'The man saw the woman using a horoscope.']	0
The scientist saw the woman with the telescope.	1	['The scientist saw the woman using a telescope.', 'The scientist saw a woman with a telescope (not necessarily using it).']	1
