text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a man who is funny in a professional context.', 'Your boss is a man who is funny in a personal or non-professional context.']	1
A funny man is your boss.	1	['A man who is known for being humorous is your boss.', 'Your boss is a man who is considered funny in a professional context, possibly due to his demeanor or sense of humor in the workplace.']	1
Boss funny is man your.	1	['Boss is a funny man, your.', 'Boss is funny man your.']	0
Your boss is a funny can.	1	['Your boss is a person who is funny', 'Your boss is a container, possibly a food can, that is stored or used in a funny way']	0
Your boss is a funky man.	1	['Your boss has a unique or unconventional style or personality.', 'Your boss has a funky, possibly groovy or unconventional musical taste.']	1
Your floss is a funny man.	1	['Your floss is a funny object (a man-shaped floss)', 'Your floss is a funny person']	0
Your floss is a sunny can.	1	['floss is a type of sunny can', 'sunny is a description of the can containing floss']	0
Your principal is a funny man.	1	['The principal (school administrator) is a person who is humorous or amusing.', 'The principal (most important or most significant) is a person who is considered important or significant in a funny way.']	1
Your boss is a humorous man.	1	['Your boss is a man who makes others laugh.', 'Your boss is a man who finds humor in situations.']	0
Your boss is a funny person.	1	['Your boss makes you laugh and find humor in various situations.', 'Your boss is a person who finds humor in various situations, possibly at the expense of others.']	1
Your chief is a humorous person.	1	['Your chief tells jokes and finds situations funny.', 'Your chief has a sense of humor and is entertaining to be around.']	0
Your boss is a happy man.	1	['Your boss is a man who feels happy emotionally.', 'Your boss is a man who is in a favorable situation professionally or financially.']	0
Your rainbow is a funny man.	1	['Your umbrella is shaped like a funny man.', 'The person you are referring to as your rainbow (a slang term for a gay man) is a funny man.']	0
Your boss is a five man.	1	['Your boss is a man who consists of five individuals', 'Your boss is a company or organization with five employees']	0
Your boss is a bunny van.	1	['Your boss is a person who drives a van that is decorated to look like a bunny, ', 'Your boss is a rabbit that drives a van.']	0
The speaker is at the front of the room.	1	['The speaker is in the foremost part of the room.', 'The speaker is positioned in a leading or prominent position in the room.']	1
At the front of the room is the speaker.	1	['The speaker is positioned at the front of the room.', 'The speaker is literally in front of the room, perhaps outside or in a different location.']	1
