sentence	ambig_status	disambiguation_1	disambiguation_2
Education is expensive, and most students cannot pay for it without loans.	1	Education is expensive, and most students take out loans to pay for it, out of necessity.	Education is expensive, and most students would have to take out loans to pay for it.
In order to solve this problem, the engineers needed to create a computer model that could take into account the flow of water, wind, and other factors.	1	In order to solve this problem, the engineers created a computer model that could take into account the flow of water, wind, and other factors.	In order to solve this problem, the engineers needed to computer model that could take into account the flow of water, wind, and other factors, whether or not they succeeded.
It is not clear that a one-size-fits-all approach is the best way to deal with the problem.	1	It is not obvious whether a one-size-fits-all approach is the best way to deal with the problem.	It is difficult to realize that a one-size-fits-all approach is the best way to deal with the problem.
The evidence does not support the conclusion that the intervention was effective.	1	The evidence does not support the conclusion reached, which was that the intervention was effective.	The evidence does not support a possible conclusion that the intervention was effective.
It's not just because she's the boss's daughter that she gets whatever she wants.	1	It's not only because she's the boss's daughter that she gets whatever she wants; there are other factors too.	It's the simple reason that she's the boss's daughter that explains how she gets whatever she wants.
It is hard to believe that a show that was once so popular is now struggling to find viewers.	1	It is hard to believe the fact that a show that was once so popular is now struggling to find viewers.	It is doubtful that a show that was once so popular is now struggling to find viewers.
The more you practice, the better you'll get.	1	The more you practice, the better you'll get; practice is necessary for getting better.	The more you practice, the better you'll get, though there may be other ways of getting better, too.
The fact that there are many different types of glass is evidence that it is a popular material.	1	The fact that there are many different types of glass is evidence for the fact that it is a popular material.	The fact that there are many different types of glass is evidence for the hypothesis that it is a popular material.
A number of my friends have been affected by the recent lay-offs.	1	A number of my friends, though not all of them, have been affected by the recent lay-offs.	A number of my friends, possibly all of them, have been affected by the recent lay-offs.
The new hospital is close to the interstate, making it easy for patients to get there.	1	The new hospital is close to the interstate, making it easy for patients to get to the hospital.	The new hospital is close to the interstate, making it easy for patients to get to the interstate.
In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.	1	In some cases, the company's treasurer might be authorized to borrow funds on behalf of the company.	In some cases, the company's treasurer is allowed to be authorized to borrow funds on behalf of the company.
The research shows that happy people are more likely to be successful.	1	Research has proved that happy people are more likely to be successful.	The particular piece of research concludes that happy people are more likely to be successful.
The study found that people who are more conscientious are more likely to be successful.	1	The study showed that people who are more conscientious are more likely to be successful.	The study concluded that people who are more conscientious are more likely to be successful.
I've only lived in the northern part of Seattle.	1	In Seattle, I've only lived in the northern part.	I haven't lived anywhere in the world besides the northern part of Seattle.
It is not that I don't want to see the movie, it is that I don't have time.	1	I want to see the movie, but I don't have time.	It is not necessarily the case that I don't want to see the movie, it is that I don't have time.
We need to be able to adapt to the changing world around us.	1	We need to adapt to the world around us that is constantly changing.	We need to be able to adapt to the world around us when it changes.
She wants to work with the professor with the largest citation count in the department.	1	She wants to work with whichever professor in the department has the largest citation count.	She wants to work with a professor who happens to have the largest citation count in the department.
I can't remember when I last saw her.	1	I can't remember when I last saw her; it has been a long time.	I can't recall when I last saw her.
He is such a talented musician that he could have been a professional.	1	He is such a talented musician that he might have been a professional.	He is such a talented musician that he could have become a professional.
Just because I don't agree with you doesn't mean I hate you.	1	Despite not agreeing with you, that doesn't mean I hate you.	Merely not agreeing with you doesn't mean I hate you.
The easiest way to solve the problem is to call a meeting.	1	The easiest way to solve the problem is to call a meeting, but there are other ways.	The easiest way to solve the problem, perhaps the only way, is to call a meeting.
The union and the company have not been able to agree on a new contract.	1	The union and the company have not been able to agree on a new contract during ongoing negotiations.	The union and the company have differing opinions on what might go in a new contract.
The company's expansion plans are to open new stores in the US.	1	The company's expansion plans are to open more stores in the US.	The company's expansion plans are to open stores in the US for the first time.
A woman in this neighborhood gives birth every year.	1	There is a particular woman in this neighborhood who gives birth every year.	Every year, some woman in this neighborhood gives birth.
I know that someone here is lying.	1	There is someone here who I know to be lying.	I know that someone here is lying, though not necessarily who it is.
She said that she will pick me up at 4pm and I can leave at 6pm.	1	She said that she will pick me up at 4pm and that I can leave at 6pm.	She said that she will pick me up at 4pm; I can leave at 6pm.
John opened the door again.	1	The door was open before, and John opened the door again.	John opened the door before, and did it again.
The class will discuss how to write a research paper.	1	The class is about how to write a research paper.	The class will, at some point, discuss how to write a research paper.
I don't taste anything fishy.	1	I don't taste anything suspicious.	I don't taste anything similar to fish.
I think that the new software is not very user-friendly.	1	I think that the new software is not exceptionally user-friendly, though it may be somewhat user-friendly.	I think that the new software is not user-friendly.
A large number of people were not willing to take the risk.	1	A large number of people, and possibly all people, were not willing to take the risk.	A large number of people, but not all people, were not willing to take the risk.
It is important to remember that not all of the people who emigrated to the United States in the late 1800s were poor.	1	It is important to remember that although many of the people who emigrated to the United States in the late 1800s were poor, not all of them were.	It is important to remember that it is not the case that all of the people who emigrated to the United States in the late 1800s were poor.
If the rock is too big, we can't move it.	1	If the rock is too big, we can't move it; otherwise we can.	If the rock is too big, we can't move it, and there may be other preventative factors too.
The high school students who were most likely to report drinking had more friends who drank.	1	The high school students who were most likely to report drinking had a great number of friends who drank.	The high school students who were most likely to report drinking had a greater proportion of friends who drank.
I was uninterested in the book, and didn't finish it.	1	I was uninterested in the book, and didn't finish it (not to address the question of whether I started it at all).	I was uninterested in the book, and didn't finish it despite starting.
That's why we tried to kill you.	1	That's the single reason we tried to kill you.	That's one reason we tried to kill you; there may be more reasons.
He is upset at his friend for revealing private information about his relationship to his teacher.	1	He is upset at his friend for revealing to his teacher private information about his relationship.	He is upset at his friend for revealing private information, concerning his relationship to his teacher.
The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.	1	The majority of Georgians incarcerated in local jails are not there because they were convicted of crime. They are simply too poor to pay their bail.	The majority of Georgians incarcerated in local jails have never been convicted of crime in their entire lives. They are simply too poor to pay their bail.
It was not until the 17th century that the city began to grow rapidly.	1	It was not until the 17th century that the city began to grow rapidly, though it may have been founded much earlier.	It was not until the 17th century that the city began to grow rapidly, though it existed before then.
The editor did not find many mistakes in the paper.	1	There were many mistakes in the paper that the editor did not find.	The editor searched for mistakes in the paper and did not find many.
The jury returned a verdict of guilty for first degree murder.	1	The jury returned a single verdict of guilty for first degree murder.	The jury returned a verdict of guilty for first degree murder, possibly among other verdicts.
