sentence1	sentence2	change_type	ambig_status
It’s not easy to wreck a nice beach.	It’s not easy to recognize speech.	original	1
			
It’s not easy to wreck a good beach.	It’s not easy to recognize speech.	synonym_1	0
It’s not easy to wreck a nice beach.	It’s not easy to identify speech.	synonym_2	0
It’s not easy to destroy a nice beach.	It’s not easy to recognize speech.	synonym_3	0
It’s not easy to wreck a nice beach.	It’s not easy to recognize talk.	synonym_4	0
			
It’s not easy to wreck a nice peach.	It’s not easy to recognize speech.	rhyme_1	1
It’s not easy to wreck a nice beach.	It’s not easy to recognize bleach.	rhyme_2	0
It’s not easy to rec a nice beach.	It’s not easy to recognize speech.	rhyme_3	1
It’s not easy to wreck a nice beach.	It’s not sleezy to recognize speech.	rhyme_4	0
			
It’s not easy to wreck a nice window.	It’s not easy to recognize speech.	random_1	0
It’s not easy to wreck a nice beach.	It’s not easy to recognize people.	random_2	0
It’s not easy to wreck a nice castle.	It’s not easy to recognize speech.	random_3	0
It’s not easy to wreck a nice beach.	It’s not easy to produce speech.	random_4	0
			
I saw a sea monster.	I saw a seam on stir.	original	1
			
I saw a sea creature.	I saw a seam on stir.	synonym_1	0
I saw a sea monster.	I observed a seam on stir.	synonym_2	0
I saw a marine monster.	I saw a seam on stir.	synonym_3	0
I saw a sea monster.	I saw a stitching on stir.	synonym_4	0
			
I saw a brie monster.	I saw a seam on stir.	rhyme_1	0
I saw a sea monster.	I saw a team on stir.	rhyme_2	0
I draw a sea monster.	I saw a seam on stir.	rhyme_3	0
I saw a sea monster.	I saw a seam on fur.	rhyme_4	0
			
I saw a sea castle.	I saw a seam on stir.	random_1	0
I saw a sea monster.	I produced a seam on stir.	random_2	0
I saw a window monster.	I saw a seam on stir.	random_3	0
I saw a sea monster.	I saw a seam on fire.	random_4	0
			
She sells seashells by the seashore.	She sells sea shells buy the sea sure.	original	1
			
She markets seashells by the seashore.	She sells sea shells buy the sea sure.	synonym_1	0
She sells seashells by the seashore.	She sells ocean shells buy the sea sure.	synonym_2	0
She sells seashells by the coast.	She sells sea shells buy the sea sure.	synonym_3	0
She sells seashells by the seashore.	She sells sea carapaces buy the sea sure.	synonym_4	0
			
She tells seashells by the seashore.	She sells sea shells buy the sea sure.	rhyme_1	0
She sells seashells by the seashore.	She sells tea shells buy the sea sure.	rhyme_2	0
She bells seashells by the seashore.	She sells sea shells buy the sea sure.	rhyme_3	0
She sells seashells by the seashore.	She sells free shells buy the sea sure.	rhyme_4	0
			
She sells windows by the seashore.	She sells sea shells buy the sea sure.	random_1	0
She sells seashells by the seashore.	She sells sea bells buy the sea sure.	random_2	0
She sells seashells by the castle.	She sells sea shells buy the sea sure.	random_3	0
She sells seashells by the seashore.	He sells sea shells buy the fire sure.	random_4	0
			
Whale meat again.	We'll meet again.	original	1
			
Whale flesh again.	We'll meet again.	synonym_1	0
Whale meat again.	We'll come together again.	synonym_2	0
Whale food again.	We'll meet again.	synonym_3	0
Whale meat again.	We'll encounter again.	synonym_4	0
			
Whale feet again.	We'll meet again.	rhyme_1	0
Whale meat again.	We'll greet again.	rhyme_2	0
Stale meat again.	We'll meet again.	rhyme_3	0
Whale meat again.	Wheel meet again.	rhyme_4	1
			
Whale windows again.	We'll meet again.	random_1	0
Whale meat again.	We'll talk again.	random_2	0
Castle meat again.	We'll meet again.	random_3	0
Whale meat again.	Wheel meet soon.	random_4	1
			
I saw a bear in the forest.	Eye sore a bare inn the for rest.	original	1
			
I saw a bear in the woods.	Eye sore a bare inn the for rest.	synonym_1	0
I saw a bear in the forest.	Eye sore a bare hotel the for rest.	synonym_2	0
I observed a bear in the forest.	Eye sore a bare inn the for rest.	synonym_3	
I observed a bear in the forest.	Eye sore a naked inn the for rest.	synonym_4	
			
I saw a pear in the forest.	Eye sore a bare inn the for rest.	rhyme_1	0
I saw a bear in the forest.	Eye sore a care inn the for rest.	rhyme_2	0
I saw a bear in the florist.	Eye sore a bare inn the for rest.	rhyme_3	0
I saw a bear in the forest.	Eye sore a bare win the for rest.	rhyme_4	0
			
I saw a bear in the windows.	Eye sore a bare inn the for rest.	random_1	0
I saw a bear in the forest.	Eye sore a bare inn the for people.	random_2	0
I saw a castle in the forest.	Eye sore a bare inn the for rest.	random_3	0
I saw a bear in the forest.	Eye wheel a bare inn the for rest.	random_4	0
			
He took a nice cold shower after his date.	He took an ice cold shower after his date.	original	1
			
He took a nice cold shower after his rendezvous.	He took an ice cold shower after his date.	synonym_1	0
He took a nice cold shower after his date.	He took an ice chilly shower after his date.	synonym_2	0
He took a enjoyable cold shower after his date.	He took an ice cold shower after his date.	synonym_3	0
He took a nice cold shower after his date.	He took an ice cold shower following his date.	synonym_4	0
			
He took a nice cold flower after his date.	He took an ice cold shower after his date.	rhyme_1	0
He took a nice cold shower after his date.	He shook an ice cold shower after his date.	rhyme_2	0
He took a nice cold shower after his date.	He took an ice cold shower after his fate.	rhyme_3	0
He took a precise cold shower after his date.	He took an ice cold shower after his date.	rhyme_4	0
			
He took a nice cold shot after his date.	He took an ice cold shower after his date.	random_1	0
He took a nice cold shower after his date.	He took an ice cold shower after his dinner.	random_2	0
He liked a nice cold shower after his date.	He took an ice cold shower after his date.	random_3	0
He took a nice cold shower after his date.	He took an ice shaped shower after his date.	random_4	0
			
The stuffy nose is annoying.	The stuff he knows is annoying.	original	1
			
The stuffy nose is irritating.	The stuff he knows is annoying.	synonym_1	0
The stuffy nose is annoying.	The things he knows is annoying.	synonym_2	0
The blocked nose is annoying.	The stuff he knows is annoying.	synonym_3	0
The stuffy nose is annoying.	The stuff he understands is annoying.	synonym_4	0
			
The fluffy nose is annoying.	The stuff he knows is annoying.	rhyme_1	0
The stuffy nose is annoying.	The stuff he grows is annoying.	rhyme_2	0
The stuffy dose is annoying.	The stuff he knows is annoying.	rhyme_3	0
The stuffy nose is annoying.	The stuff he knows is employing.	rhyme_4	0
			
The stuffy castle is annoying.	The stuff he knows is annoying.	random_1	0
