text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	True	['The man saw the woman using the telescope, The man saw the woman who was looking through the telescope.']	1
The woman saw the man with the telescope.	True	"[""The woman saw the man who was using the telescope, The woman saw the man with the telescope (i.e., the man was physically near the telescope)'""]"	1
Man with the saw telescope woman the with.	True	['Man is using a saw to look at a woman through a telescope, Man is a man who is with a woman who has a saw and a telescope.']	0
The man saw the woman with the microscope.	True	['The man saw the woman who was using the microscope, The man saw the woman holding the microscope.']	1
The man saw the woman with the monoscope.	True	['The man saw the woman while using a monoscope (a device used for observing small objects), or The man saw the woman who was wearing a monoscope (a type of monocle or magnifying glass)']	1
The man saw the woman with the spyglass.	True	['The man saw the woman using a spyglass, The man saw a woman who was a spy with a glass.']	1
The man saw the woman with the binoculars.	True	['The man saw the woman who was using the binoculars, The man saw the woman with the binoculars that the man was holding.']	1
The man saw the woman with the camera.	True	['The man saw the woman who was holding the camera, The man saw the woman while the man was using the camera.']	1
The man saw the woman with the phone.	True	['The man saw the woman who was holding the phone, The man saw the woman while she was using the phone.']	1
The man saw the woman with the polaroid.	True	['The man saw the woman who had a Polaroid camera, The man saw a photo of the woman taken with a Polaroid camera.']	1
The man saw the woman with the glasses.	True	['The man saw the woman who was wearing glasses, The man saw the woman while the glasses were present.']	1
The man saw the woman with the eyepiece.	True	['The man saw the woman who was wearing an eyepiece, The man saw the woman using an eyepiece to look at something.']	1
The man saw the woman with the monocular.	True	['The man saw the woman who was using a monocular, The man saw the woman with a monocular (a device for one eye) on her.']	1
The man saw the woman with the dress.	True	['The man saw the woman who was wearing the dress, The man saw the woman, and she was wearing the dress.']	0
The man saw the woman with the book.	True	['The man saw the woman who was holding the book, The man saw the woman reading the book']	0
The man saw the woman with the desk.	True	['The man saw the woman who was sitting at the desk, The man saw the woman, and the desk was in sight.']	0
The man saw the woman with the curtains.	True	['The man saw the woman who was standing behind the curtains, The man saw the woman holding or operating the curtains.']	0
The man saw the woman with the box.	True	['The man saw the woman who had the box, The man saw the woman while the box was present.']	0
The man saw the woman with the present.	True	['The man saw the woman who had the present, The man saw the woman with a present.']	0
The man saw the woman with the dophin.	True	['The man saw the woman who was with the dolphin, The man saw a woman with a dolphin.']	0
The man saw the woman with the suitcase.	True	['The man saw the woman while she was carrying the suitcase, The man saw the woman and then saw the suitcase she was carrying.']	0
The man saw the woman with the gyroscope.	True	['The man saw a woman who was holding a gyroscope, or The man saw a woman who was in a state of rotation or spinning motion due to the influence of a gyroscope.']	0
The man saw the woman with the horoscope.	True	['The man saw the woman who had a horoscope (e.g. a birth chart), or The man saw the woman with a physical copy of a horoscope (e.g. a newspaper or magazine) that was in front of him.']	0
The scientist saw the woman with the telescope.	True	['The scientist saw the woman while looking through the telescope, The scientist saw the woman who was using the telescope.']	1
The guy saw the woman with the telescope.	True	['The guy saw the woman who was using the telescope, The guy saw the woman with the telescope, which is next to or near him.']	1
John saw the woman with the telescope.	True	['John saw a woman who was using a telescope, John saw a woman that he was looking at through a telescope']	1
Alex saw the woman with the telescope	True	['Alex saw the woman who was using the telescope, Alex saw the woman with the telescope, but not necessarily using it.']	1
Mary saw the woman with the telescope.	True	['Mary saw a woman who was using a telescope, Mary saw a woman who was with someone or something else and happened to have a telescope.']	1
Jenny saw the woman with the telescope.	True	['Jenny saw a woman who was using a telescope, Jenny saw a woman who had a telescope.']	1
The nurse saw the woman with the telescope.	True	['The nurse saw the woman while using a telescope, The nurse saw a woman who was using a telescope.']	1
The detective saw the woman with the telescope.	True	['The detective saw a woman who was using a telescope, The detective saw a woman with a telescope, but the detective was not looking at it.']	1
