text	is_ambiguous	ambig_status
Most students take out loans to pay for their education.	1	0
The engineers created a computer model that could take into account the flow of water, wind, and other factors.	1	0
The company should pull out of the country.	1	0
The ground is wet.	1	0
The average American worker spends nearly two hours a day reading and answering e-mail.	1	0
The teacher asked the students if they could name the countries in North America.	1	1
A little over two thirds of the world's population is literate.	1	0
A one-size-fits-all approach is the best way to deal with the problem.	1	0
Last year's graduation rate was lower than the year before.	1	0
The methods of the protesters are disruptive and sometimes even violent.	1	0
Vegans are not automatically healthy.	1	0
It's hard to see how the company could not make a profit.	1	0
In order to improve your math skills, one of the best things you can do is get a tutor.	1	0
The defendant is guilty.	1	0
He is not very short.	1	0
There is a problem.	1	0
I was not sure what to expect, but I was prepared for the worst.	1	0
I was hoping to see you at the meeting.	1	1
The students will complete the assignment.	1	0
You are not required to attend a meeting.	1	0
Increasing the number of police officers on the streets is the best way to reduce crime.	1	0
She always carries a picture of her favorite actor in her wallet.	1	0
The novel is still one of the most popular books of all time because it has been banned in several countries.	1	0
The median of the sample is 14.2 and the range is 3.1.	1	0
The evidence does not support the conclusion that the intervention was ineffective.	1	1
She gets whatever she wants because she's the boss's daughter.	1	1
A show that was once so popular is now struggling to find viewers.	1	0
If you don't practice, you'll never get better.	1	0
A tiny minority of people in the world are monolingual.	1	0
The teacher's assistant was looking through the books in the library.	1	0
Even though he was in his mid-fifties, my grandfather was still young.	1	0
We can assume that the market will continue to grow at the same rate.	1	0
The number of people swimming in the ocean has increased.	1	0
I am a writer.	1	0
The city is not as safe as its reputation suggests.	1	0
The school grounds were empty except for a group of boys playing tag.	1	0
I'm sorry I couldn't make it to your party.	1	0
The old plan is not going to work.	1	0
Glass is a popular material.	1	0
He refused to give up because he was failing.	1	1
All of my friends have been affected by the recent lay-offs.	1	0
Healthcare is a complex and multi-faceted issue.	1	0
We will be able to track our spending and ensure that we are getting the most for our money.	1	0
The novel's antagonist is a young woman who is trying to find her place in the world.	1	0
The council will deliberate on the matter and make a cake next week.	1	0
The drawbacks of the Internet outweigh the benefits.	1	0
Some of the students are required to wear uniforms.	1	1
Some of the lights were out.	1	1
The treatment should result in a change in the outcome variable.	1	0
I'm going to have to miss your birthday.	1	0
It is easy to get to the new hospital.	1	0
The employer did not fail to pay the employees for overtime work.	1	0
The treasurer is not authorized to borrow funds.	1	0
The merger was not approved.	1	0
A man and woman can be married to each other.	1	0
He will be able to do it.	1	0
Unhappy people are more likely to be successful.	1	0
More conscientious people are more likely to be successful.	1	0
Other people, when they think about retirement, imagine a life of boredom, free from the stimulation of a 9-to-5 job.	1	0
I haven't lived outside of Seattle.	1	0
We're not going to be able to keep doing things the way we've been doing them.	1	0
"In this new world, the only way to survive is to become a \""gatherer.\"""	1	0
In order to get out of the country, all visitors must have a valid passport.	1	0
I don't want to see the movie.	1	0
The world is constantly changing, and we need to change with it.	1	0
The citation count of a professor matters to her.	1	0
He wants to help people when he grows up.	1	0
I can't believe that it happened.	1	0
The coach told the team that they needed to work harder if they wanted to get better.	1	0
I haven't seen her in a long time.	1	0
I am confused.	1	0
The plane has been delayed for two hours.	1	0
The effects of global warming can be understood by using our model.	1	0
She is selfish.	1	0
I am sure you're telling me a lie.	1	0
He is a professional musician.	1	0
The power is still out in the city.	1	0
The theory is that if we have a good understanding of the past, we will be able to make good decisions in the present.	1	0
The defense does not have to prove that the defendant is innocent.	1	1
I don't agree with you.	1	0
The client's needs are always clear.	1	0
I have to leave for my dentist's appointment in five minutes.	1	0
The company will be able to expand.	1	0
We use models to simplify complex systems.	1	0
The problem cannot be solved without a meeting.	1	0
Despite its faults, the new system is an improvement over the old one.	1	0
The organization needs to flatten its structure.	1	1
The coffee was so hot that it scalded his tongue.	1	0
It's eight o'clock.	1	0
The company and the union have been negotiating a new contract.	1	0
Mary's sister is shorter than her.	1	0
I saw the sequel.	1	0
He was not expecting the reading test to be so difficult.	1	0
