text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a man who is funny in a professional context.', 'Your boss is a man who is funny in a personal context or outside of work.']	1
A funny man is your boss.	1	['A man who is known for being funny is your boss.', 'Your boss has a funny personality or sense of humor.']	1
Boss funny is man your.	0	[]	0
Your boss is a funny can.	1	['Your boss is a person who is funny', 'Your boss is a container, possibly a food can, that is stored or used in a funny way']	0
Your boss is a funky man.	1	['Your boss has a unique, unconventional style or personality.', 'Your boss has a funky, possibly unusual or groovy musical taste.']	1
Your floss is a funny man.	1	['Your floss is a funny object (man-shaped floss)', 'Your floss is a funny person']	0
Your floss is a sunny can.	1	['Your floss is a sunny object.', 'Your floss is a can that is sunny.']	0
Your principal is a funny man.	1	['The principal (school administrator) is a person who is humorous or amusing.', 'The principal (most important) is a person who is significant or crucial in a particular context.']	1
Your boss is a humorous man.	1	['Your boss is a man who finds humor in various situations and enjoys making others laugh.', 'Your boss is a man who is perceived as funny by others, possibly due to his personality or the way he conducts himself in the workplace.']	0
Your boss is a funny person.	1	['Your boss makes you laugh or finds humor in situations, indicating a good sense of humor.', 'Your boss is a person who works as a stand-up comedian or finds their job as a boss funny, which might be a metaphorical statement.']	1
Your chief is a humorous person.	1	['Your chief tells jokes and finds humor in various situations.', 'Your chief has a sense of humor and is not serious all the time.']	0
Your boss is a happy man.	1	['Your boss is a man who is happy with his job or personal life.', 'Your boss is a man who is happy because of a recent positive event or situation.']	0
Your rainbow is a funny man.	1	['Your description of a rainbow is a humorous or amusing man.', 'The rainbow itself is an amusing or strange man.']	0
Your boss is a five man.	1	"['Your boss is a man and there are five of them.', ""Your boss is a band or group named 'Five Man'.""]"	0
Your boss is a bunny van.	0	[]	0
The speaker is at the front of the room.	1	['The speaker is standing in the front of a physical room.', 'The speaker is leading a discussion or presentation in a room.']	1
At the front of the room is the speaker.	1	['The speaker is physically positioned at the front of the room.', 'The speaker is the person who is speaking to the audience from the front of the room.']	1
Of the room is the speaker at the front.	1	['The speaker is at the front of the room.', 'There is a portion of the room that is at the front.']	0
The speaker is in front of the broom.	1	['The speaker is physically positioned in front of a broom.', 'The speaker is giving a speech or talk, and the broom is metaphorically in front of them in a layout or plan.']	1
The reader is at the front of the room.	1	['The reader is standing in the front of the room as a speaker.', 'The reader is seated at the front of a room filled with other readers.']	0
