text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a man who is funny in a professional context.', 'Your boss is a man who is funny in a personal or social context.']	1
A funny man is your boss.	1	['A man who is known for being funny is your boss.', 'Your boss has a funny personality or sense of humor.']	1
Boss funny is man your.	0	[]	0
Your boss is a funny can.	1	['Your boss is a person who is funny', 'Your boss is a container, possibly a food can, that is humorous']	0
Your boss is a funky man.	1	['Your boss has a unique, unconventional style or personality.', 'Your boss has a funky, possibly unusual or groovy smell.']	1
Your floss is a funny man.	1	['Your floss is a funny object (possibly referring to the shape or design of the floss packaging).', 'Your flossing technique or the person you are flossing for is a funny person.']	0
Your floss is a sunny can.	1	['Your floss is a sunny object.', 'Your floss is a can of something, and it is sunny.']	0
Your principal is a funny man.	1	['The principal (school administrator) is a person who is humorous or amusing.', 'The principal (most important) is a person who is significant or crucial.']	1
Your boss is a humorous man.	1	"['Your boss is a man who makes others laugh.', ""Your boss is a man who finds humor in situations, even if he doesn't necessarily make others laugh.""]"	0
Your boss is a funny person.	1	['Your boss tells jokes and finds humor in various situations.', 'Your boss is a person who finds your work amusing, perhaps in a negative or critical way.']	1
Your chief is a humorous person.	1	['Your chief tells jokes and finds humor in various situations.', 'Your chief has a sense of humor and is not serious all the time.']	0
Your boss is a happy man.	1	['Your boss is a man who feels happy emotionally.', 'Your boss is a man who is in a favorable situation or state of happiness.']	0
Your rainbow is a funny man.	1	['Your rainbow is a funny (person).', 'Your (rainbow-colored) man is funny.']	0
Your boss is a five man.	1	['Your boss is a group of five men.', 'Your boss is a man named Five.']	0
Your boss is a bunny van.	0	[]	0
The speaker is at the front of the room.	1	['The speaker is physically positioned at the front of the room during a presentation.', 'The speaker is metaphorically or figuratively at the front of the room, possibly leading or addressing a group.']	1
At the front of the room is the speaker.	1	['The speaker is physically positioned at the front of the room.', 'The speaker is metaphorically or figuratively at the front of the room, possibly leading or addressing others.']	1
Of the room is the speaker at the front.	1	['The speaker is at the front of the room.', 'There is a portion of the room that is at the front, and the speaker is within that portion.']	0
The speaker is in front of the broom.	1	['The speaker is standing in front of a broom.', 'The speaker is physically in front of a location where a broom is present.']	1
The reader is at the front of the room.	1	['The reader is standing in the front of the room as an audience member.', 'The reader is leading or presenting from the front of the room.']	0
The speaker is at the front of the coomb.	1	['The speaker is standing at the front of a coomb (a type of farm tool or hillside trough),', 'The speaker is in front of a group of people in a coomb (a type of natural hollow in a hillside).']	1
The reader is at the front of the bloom.	1	"[""The reader is in the initial stage of the bloom's development."", 'The reader is positioned in front of a blooming plant.']"	1
