text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a person who is humorous, Your boss is a person who is employed in a humorous or playful manner.']	1
A funny man is your boss.	1	['A funny man (a person known for being humorous) is your boss, A funny (amusing or comical) man is your boss.']	1
Boss funny is man your.	1	"[""The sentence can be interpreted as 'The funny man is your boss' or 'Your boss is a funny man'.""]"	0
Your boss is a funny can.	1	"[""Your boss is a humorous person, Your boss is a container filled with food (e.g. a can of beans) named 'funny'.""]"	0
Your boss is a funky man.	1	['Your boss is a person who enjoys funky music, Your boss has an unusual or quirky personality.']	1
Your floss is a funny man.	1	['Your dental floss is a humorous person, or Your dental floss is a peculiar or amusing item.']	0
Your floss is a sunny can.	1	['Your floss is a can of sunny toothpaste', 'Your floss is a can that is yellow in color, like the sun']	0
Your principal is a funny man.	1	['Your principal (headmaster or head teacher) is a funny man, Your principal (a person who is in charge of a company or organization) is a funny man.']	1
Your boss is a humorous man.	0	[]	0
Your boss is a funny person.	1	['Your boss is a funny person, meaning they have a good sense of humor; Your boss is a funny person, meaning they are amusing or entertaining.']	1
Your chief is a humorous person.	1	['Your chief is a humorous person, meaning your chief has a sense of humor; Your chief is a humorous person, meaning your chief is a comical or amusing person.']	0
Your boss is a happy man.	1	['Your boss is a happy man, meaning your boss is a person who experiences happiness; Your boss is a happy man, meaning your boss is a person who is fortunate or successful.']	0
Your rainbow is a funny man.	1	['Your rainbow is a humorous natural phenomenon, a funny man (in the sense of a clown or comedian); Your rainbow is a person named Rainbow who is also a comedian, a funny man.']	0
Your boss is a five man.	1	['Your boss is a five-man team, Your boss is a person who is five men tall.']	0
Your boss is a bunny van.	1	['Your boss is a bunny, and they drive a van; Your boss is a bunny van, a vehicle that your boss uses.']	0
The speaker is at the front of the room.	1	['The speaker is standing at the front of the room, The speaker is speaking from the front of the room.']	1
At the front of the room is the speaker.	1	['The speaker is standing at the front of the room, The front of the room is where the speaker is located.']	1
Of the room is the speaker at the front.	1	['Of the room is the speaker at the front, meaning the speaker is physically located at the front of the room; Of the room is the speaker at the front, meaning the speaker is describing a characteristic of the room, such as the speaker being at the front of the room in a spatial sense.']	0
The speaker is in front of the broom.	1	['The speaker is physically located in front of a broom, or The speaker is using a broom to talk about something.']	1
The reader is at the front of the room.	1	"[""The reader is at the front of the room, referring to the reader's physical location in the room; The reader is at the front of the room, referring to the reader's position in the narrative or story being read.""]"	0
The speaker is at the front of the coomb.	1	['The speaker is at the front of the comb, The speaker is at the summit of a mountain called Coomb.']	1
The reader is at the front of the bloom.	1	"[""The reader is at the front of the book, The reader is at the beginning of the flower or plant's blooming process.""]"	1
The speaker is at the front of the chamber.	1	['The speaker is standing at the front of the room, The speaker is at the front of a legislative or parliamentary chamber.']	1
The loudspeaker is at the front of the room.	1	['The loudspeaker is a device at the front of the room, The loudspeaker is at the front of a room where it is emitting sound.']	0
The lector is at the front of the room.	1	['The lector is at the front of the room, referring to the person who is reading aloud; The lector is at the front of the room, referring to the person in charge of the event or ceremony.']	0
The lecturer is at the front of the chamber.	1	['The lecturer is standing at the front of the room, The lecturer is in charge of the front of the chamber (e.g. a legislative or judicial chamber) in a parliamentary or court setting.']	0
The key is at the front of the room.	1	['The key is a physical object located at the front of the room, The key is a metaphorical key or solution located at the front of the room.']	0
The soda is at the front of the room.	1	['The soda is located at the front of the room, referring to its physical position.', 'The soda is the first item at the front of a list of items in the room.']	0
The telescope is at the front of the room.	1	['The telescope is at the front of the room, referring to the physical location of the telescope in the room; The telescope is at the front of the room, referring to the telescope being used as a tool for observing something at the front of the room.']	0
The speaker is at the front of the scene.	1	['The speaker is physically located at the front of the scene, such as on a stage or in front of a camera. The speaker is also the person who is speaking, and is at the forefront of the conversation or presentation, meaning they are the main focus of the discussion.']	1
He's not very well off.	1	"[""He's not very well off financially, He's not very well physically/mentally/otherwise (e.g. in terms of health) off.""]"	1
Not very well off he is.	1	['Not very well off he is, meaning he is not rich or wealthy, or Not very well off he is, meaning he is not doing well in terms of his physical or mental health.']	1
Very not he well off is.	1	['Very poor is well off, Very is not well off.']	0
He's not very cell off.	1	"[""He's not very close off, He's not very cellular off""]"	0
