text	is_ambiguous	ambig_status
Your boss is a funny man.	1	1
A funny man is your boss.	0	1
Boss funny is man your.	1	0
Your boss is a funny can.	1	0
Your boss is a funky man.	1	1
Your floss is a funny man.	1	0
Your floss is a sunny can.	1	0
Your principal is a funny man.	0	1
Your boss is a humorous man.	0	0
Your boss is a funny person.	0	1
Your chief is a humorous person.	0	0
Your boss is a happy man.	0	0
Your rainbow is a funny man.	1	0
Your boss is a five man.	0	0
Your boss is a bunny van.	1	0
The speaker is at the front of the room.	0	1
At the front of the room is the speaker.	0	1
Of the room is the speaker at the front.	0	0
The speaker is in front of the broom.	0	1
The reader is at the front of the room.	0	0
The speaker is at the front of the coomb.	0	1
The reader is at the front of the bloom.	0	1
The speaker is at the front of the chamber.	0	1
The loudspeaker is at the front of the room.	0	0
The lector is at the front of the room.	0	0
The lecturer is at the front of the chamber.	0	0
The key is at the front of the room.	0	0
The soda is at the front of the room.	0	0
The telescope is at the front of the room.	0	0
The speaker is at the front of the scene.	0	1
He's not very well off.	1	1
Not very well off he is.	0	1
Very not he well off is.	1	0
He's not very cell off.	0	0
He is not verry tell off.	1	0
He is not verry bell off.	1	0
He is not verry fell off.	0	0
The man is not very well off.	0	1
He is not verry wealthy.	1	0
He is not verry rich.	1	0
She's not very well off.	1	1
He's not very telescope off.	0	0
He's not very elephant off.	0	0
He's not very pyjamas off.	0	0
He's not very cat food.	0	0
John and Anna are married.	0	1
Anna and John are married.	0	1
Married John are Anna.	1	0
Bonn and Hannah are married.	0	1
Ron and Anna are married.	0	1
John and Anna are carried.	1	0
John and Anna are varied.	1	0
The man and the woman are married.	0	1
Stephan and Daniel are married.	0	1
John and Anna are engaged.	0	1
Ron and Myrthe are engaged.	0	1
John and Anna are happy.	0	0
John and Anna are babies.	0	0
Telescope and Anna are married.	0	0
John and telescope are married.	0	0
It is my belief that the earth is round.	0	1
That the earth is round is my belief.	0	1
Is earth my belief that round the.	1	0
It is my belief that the birth is sound.	1	1
It is my leaf that the earth is sound.	1	0
It is my grief that the earth is round.	0	0
It is my thief that the earth is bound.	0	0
I have the opinion that the earth is round.	0	1
I think that the earth is round.	0	0
I am certain that the earth is round.	0	0
It is my belief that the planet is round.	0	1
It is my happiness that the earth is round.	0	0
It is my rainbow that the earth is round.	0	0
It is my telescope that the earth is round.	1	0
It is my pyjamas that the earth is round.	0	0
She is looking for a match.	1	1
A match she is looking for.	0	1
Is match looking a she for.	1	0
She is looking for a catch.	1	0
She is looking for a patch.	1	0
He is rocking for a batch.	0	0
She is looking for a dispatch.	0	1
She is seeking for a match.	1	1
She is looking for a game.	1	0
She is looking for a partner.	1	0
She is looking for a tinder date.	1	0
She is looking for a telescope.	0	0
She is looking for an elephant.	0	0
She is looking for a rainbow.	0	0
She is looking for a pillow.	0	0
Give me a ring.	1	1
A ring give me.	1	1
Me ring a give.	0	0
Give me a thing.	1	0
Bring me a ring.	1	0
Give me a sing.	0	0
Give me a swing.	1	0
Give me a call.	0	0
Give me a jewellery.	0	0
Give me a phone call.	0	0
Give me a bracelet.	1	0
Give me a rainbow.	1	0
Give me a telescope.	0	0
Give me an elephant.	0	0
