text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	1	['Your boss is a person who is humorous, Your boss is a person who is employed in a humorous or playful manner.']	1
A funny man is your boss.	1	['A funny man (a person known for being humorous) is your boss, A funny (amusing or comical) man is your boss.']	1
Boss funny is man your.	1	['The sentence can be interpreted as ']	0
Your boss is a funny can.	1	"[""Your boss is a humorous person, Your boss is a container for food (e.g., a tin can) named 'funny'.""]"	0
Your boss is a funky man.	1	['Your boss is a person who enjoys funky music, Your boss is a person who is unusual or quirky in their behavior or style.']	1
Your floss is a funny man.	1	['Your floss is a funny man, meaning the floss is a person who is amusing and entertaining; Your floss is a funny man, meaning the floss is a type of dental floss that is unusual or quirky.']	0
Your floss is a sunny can.	1	"[""Your floss is a can of dental floss that is sunny in color, Your floss is a plant (like a type of grass) that is commonly known as 'sunny can'.""]"	0
Your principal is a funny man.	1	['Your principal (headmaster or head teacher) is a funny man, or Your principal (the most important person in a company or organization) is a funny man.']	1
Your boss is a humorous man.	0	[]	0
Your boss is a funny person.	1	['Your boss is a person who tells jokes, Your boss has a humorous personality.']	1
Your chief is a humorous person.	1	['Your chief is a person who is humorous, Your chief is a person who is the head of an organization and is humorous.']	0
Your boss is a happy man.	0	[]	0
Your rainbow is a funny man.	1	['Your rainbow is a humorous natural phenomenon, and the man is funny; Your rainbow is a person named Rainbow who is a comedian.']	0
Your boss is a five man.	1	['Your boss is a five-man team, Your boss is a person who is five men tall.']	0
Your boss is a bunny van.	1	['Your boss is a bunny, Your boss drives a van.']	0
The speaker is at the front of the room.	1	['The speaker is standing at the front of the room, The speaker is speaking at the front of the room.']	1
At the front of the room is the speaker.	1	['The speaker is standing at the front of the room, The front of the room is where the speaker is located.']	1
Of the room is the speaker at the front.	1	['Of the room is the speaker at the front, meaning the speaker is physically located at the front of the room; Of the room is the speaker at the front, meaning the speaker is describing the speaker as being located at the front of the room.']	0
The speaker is in front of the broom.	1	['The speaker is physically standing in front of a broom, or the speaker is discussing or describing a situation where the speaker is in a position of authority or control, like a broom (e.g. a janitor or a maid) is in front of a broom.']	1
The reader is at the front of the room.	1	"[""The reader is at the front of the room, referring to the reader's physical location in the room; The reader is at the front of the room, referring to the reader's position in the narrative or story being read.""]"	0
The speaker is at the front of the coomb.	1	['The speaker is at the front of a comb, The speaker is at the top of a coomb (a type of valley or hollow) in the sense that they are at the edge or boundary of the coomb.']	1
The reader is at the front of the bloom.	1	['The reader is at the front of the book, The reader is at the front of a flower or plant bloom.']	1
The speaker is at the front of the chamber.	1	['The speaker is at the front of the room, The speaker is at the front of a legislative body such as a parliament or congress.']	1
The loudspeaker is at the front of the room.	0	[]	0
The lector is at the front of the room.	1	['The lector is at the front of the room, referring to a person who is reading aloud, or The lector is at the front of the room, referring to a person who is in charge of leading a discussion or presentation.']	0
The lecturer is at the front of the chamber.	1	['The lecturer is standing in front of the chamber, The lecturer is located at the front of the chamber (e.g. at the podium or desk) in the chamber.']	0
The key is at the front of the room.	1	['The key is at the front of the room, referring to a literal key (e.g. a door key) being placed at the front of the room; The key is at the front of the room, referring to a crucial or important aspect of the room being located at the front.']	0
The soda is at the front of the room.	1	['The soda is located at the front of the room, referring to its physical position.', 'The soda is the first item on the list or menu at the front of the room.']	0
The telescope is at the front of the room.	1	['The telescope is physically located at the front of the room, or The telescope is pointed towards the front of the room.']	0
The speaker is at the front of the scene.	1	['The speaker is standing at the front of the scene, The speaker is speaking at the front of the scene.']	1
He's not very well off.	1	"[""He's not very well off (financially), He's not very well off (physically/health-wise) or mentally.""]"	1
Not very well off he is.	1	['Not very well off he is, meaning he is in a state of poverty or financial struggle; Not very well off he is, meaning he is not very skilled or proficient at something.']	1
Very not he well off is.	1	['Very poor is well off, Very is not well off.']	0
He's not very cell off.	1	"[""He's not very good at cell phone or He's not very cellular.""]"	0
He is not verry tell off.	1	['He is not very good at telling off', 'He is not very telling off (i.e. not speaking out or expressing himself)']	0
He is not verry bell off.	1	"[""He is not very well off, He is not very bell off (note: 'bell off' is likely a typo and the intended phrase is 'well off')""]"	0
He is not verry fell off.	1	['He is not very well, He is not very fell (as in, not very skilled or talented)']	0
