sentence	ambig_status	disambiguation_1	disambiguation_2
The teacher asked the students if they could name the countries in North America.	1	The teacher asked the students to name the countries in North America.	The teacher asked the students if they are able to name the countries in North America.
I was hoping to see you at the meeting.	1	I was hoping to see you at the meeting of people	I was hoping to see you at the work meeting.
The evidence does not support the conclusion that the intervention was ineffective.	1	The evidence does not support the conclusion reached, which was that the intervention was ineffective.	The evidence does not support a possible conclusion that the intervention was ineffective.
She gets whatever she wants because she's the boss's daughter.	1	She gets whatever she wants in part because she's the boss's daughter.	She gets whatever she wants in part because she's the boss's daughter.
He refused to give up because he was failing.	1	He refused to give up as a result of his failing.	He refused to give up, because he was failing.
Some of the students are required to wear uniforms.	1	Some, perhaps all, of the students are required to wear uniforms.	Some of the students are required to wear uniforms, and others are not.
Some of the lights were out.	1	Some of the lights were out, others were on.	At least some of the lights were out.
The defense does not have to prove that the defendant is innocent.	1	The defense does not have to prove that the defendant is definitely innocent.	The defense does not have to prove that the defendant is legally innocent.
The organization needs to flatten its structure.	1	The organization is moving to flatten its structure.	It is necessary that the organization flattens its structure.
The employees were not entitled to overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.	1	The employees were not given overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.	The employees were not entitled, in principle, to overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.
The class will discuss how to write a persuasive essay.	1	The class is about how to write a persuasive essay.	The class will, at some point, discuss how to write a persuasive essay.
The man was charged with second degree murder.	1	The man was charged only with second degree murder.	The man was charged with second degree murder, possibly among other charges.
The poet laureate is a position given to a poet by a government or institution.	1	The poet laureate is a title given to a poet by a government or institution.	The poet laureate is a job given to a poet by a government or institution.
Some of the students turned in their homework on time.	1	Some but not all of the students turned in their homework on time.	At least some of the students turned in their homework on time.
The high school students who were most likely to report drinking had more friends who did not drink.	1	The high school students who were most likely to report drinking had a great number of friends who did not drink.	The high school students who were most likely to report drinking had a greater proportion of friends who did not drink.
I had to pull over to the side of the road.	1	I pulled over to the side of the road, because I had to.	I needed to pull over to the side of the road, whether or not I actually did.
I sometimes take my coffee with cream and sugar.	1	I sometimes, but not always, take my coffee with cream and sugar.	I sometimes, and possibly always, take my coffee with cream and sugar.
The jury returned a verdict of guilty for second degree murder.	1	The jury returned a single verdict of guilty for second degree murder.	The jury returned a verdict of guilty for second degree murder, possibly among other verdicts.
A third of Americans have a negative view of the news media.	1	At least a third of Americans have a negative view of the news media.	No more than a third of Americans have a negative view of the news media.
The employees were not happy because the company was doing well.	1	The company doing well did not lead to the employees being happy.	The employees were unhappy, because the company was doing well.
He was appointed to the position.	1	He was selected for the position without the direct participation of the public.	He was chosen for the position.
They won't come now.	1	Before they would have come, but not anymore.	They won't come right now.
People who contract the virus will experience only mild or moderate symptoms.	1	All people who contract the virus will experience only mild or moderate symptoms.	In general, people who contract the virus will experience only mild or moderate symptoms.
I'll be impressed if you get his T shirt.	1	I'll be impressed if you understand his T shirt.	I'll be impressed if you acquire his T shirt.
The athlete will not be disqualified from the competition.	1	The athlete (a specific person) will not be disqualified from the competition.	The athlete (as a generic) will not be disqualified from the competition.
The flu virus is spreading rapidly.	1	The flu virus is spreading rapidly among the population.	The flu virus is spreading rapidly in the environment.
She wants to work with the professor with the best reputation in the department.	1	She wants to work with whichever professor in the department has the best reputation.	She wants to work with a professor who happens to have the best reputation in the department.
You will be able to figure it out.	1	You are expected to be able to figure it out.	You will, in reality, be able to figure it out.
The President is not required to comply with the law.	1	The office of the President is not beholden to the law.	The current President is not being held accountable to the law.
The company's sales increased by 3 percent last quarter.	1	The company's sales increased by (at least) 3 percent last quarter.	The company's sales increased by only 3 percent last quarter.
Her grandmother was very close to her.	1	Her grandmother was physically very close to her.	Her grandmother had a very close relationship with her.
What we need is a change in policy.	1	All we need is a change in policy.	We need a change in policy.
He's drawing on the bus.	1	He's on the bus, drawing.	He's drawing on the surface of the bus.
It is not unheard of for a business to make a loss in its first year.	1	It is unexpected, but not unheard of, for a business to make a loss in its first year.	There are known cases where a business to make a loss in its first year.
Only Maya likes the way she dresses.	1	No one likes the way Maya dresses except Maya herself.	No one likes the way they dress except Maya.
The media holds the powerful accountable.	1	The media holds the powerful accountable in reality.	The media functions to hold the powerful accountable.
He was my brother.	1	He was my biological brother.	He was my brother from another mother.
Trying a different strategy would be good.	1	Trying a different strategy will necessarily be good.	Trying a different strategy would be a good idea.
I think the glass is half full.	1	I think the glass is half full, metaphorically.	I think the glass is exactly half full.
I couldn't find my glasses.	1	I wasn't able to find my glasses.	I had lost my glasses.
We haven't finished the cake yet.	1	We haven't finished making the cake yet.	We haven't finished eating the cake yet.
The fire quickly spread to the east wing of the building.	1	The fire quickly spread through the building to its east wing.	The fire quickly spread through the building to its east wing.
A large number of people are not employed in the tourism industry.	1	A large number of people in some group are not employed in the tourism industry.	A large number of people in society are not employed in the tourism industry.
Only Arya can stand to eat her own cooking seven days a week.	1	No one can stand to eat Arya's cooking seven days a week, except Arya herself.	No one except Arya can stand to eat their own cooking seven days a week.
I still can't believe it happened.	1	I nevertheless can't believe it happened.	I continue not to believe it happened.
Only Susan likes her painting.	1	No one likes Susan's painting except herself.	No one likes their painting except Susan.
The conference will be held in Detroit on October 13.	1	The conference will be held in Detroit, starting on October 13.	The conference will be held in Detroit on October 13 and potentially other dates.
They may be moving to a new house next month.	1	They have a non-zero chance of moving to a new house next month.	They may or may not be moving to a new house next month.
The athlete's goal is to beat their personal best.	1	The athlete's main goal is to beat their personal best.	A goal of the athlete is to beat their personal best.
LaBeouf had tried to bum a smoke from a police officer.	1	LaBeouf had tried to find a police officer to bum a smoke from.	LeBeouf had tried to bum a smoke from someone who happened to be a police officer.
He was tired.	1	He was physically exhausted.	He was sleepy.
The room was spinning around me.	1	The room was physically spinning around me.	The room seemed like it was spinning around me.
A person who has attained success in life has done so by leading and inspiring others.	1	A person who has attained success in life has done so entirely by leading and inspiring others.	A person who has attained success in life has done so by leading and inspiring others, possibly among other necessary components.
The teacher told the students that they could pass the class if they worked hard.	1	The teacher told the students that they would be able to pass the class if they worked hard.	The teacher told the students that they might pass the class if they worked hard.
They have to leave early in order to make it on time.	1	They will have to leave early in order to make it on time.	Generally, they have to leave early in order to make it on time.
The Taiwanese leopard is spotted for the first time in a half century.	1	The Taiwanese leopard is seen for the first time in a half century.	The Taiwanese leopard has spots for the first time in a half century.
People who are colorblind can see colors, but they are not as vibrant.	1	All people who are colorblind can see colors, but they are not as vibrant.	All people who are colorblind can see colors, but they are not as vibrant.
Change is good.	1	In general, change is good.	Change is necessarily good.
I realized that I had left my phone at home.	1	I had the realization that I had left my phone at home.	I was aware that I had left my phone at home.
More and more people will find it difficult to make ends meet.	1	It is expected that more and more people will find it difficult to make ends meet.	It is certain that more and more people will find it difficult to make ends meet.
There will be more interesting seminars next quarter.	1	There will be more seminars next quarter that are interesting.	There will be seminars next quarter that are more interesting.
Some students must complete a writing assignment by the end of the semester.	1	At least some students must complete a writing assignment by the end of the semester.	Some students, but not all of them, must complete a writing assignment by the end of the semester.
It's not right.	1	It's not just.	It's not factually correct.
The awareness of the problem will increase.	1	The awareness of the problem among people will increase.	The depth of awareness of the problem will increase.
She wants to work with the professor with the largest lab in the department.	1	She wants to work with whichever professor in the department has the largest lab.	She wants to work with a professor who happens to have the largest lab in the department.
The cost of living has increased by 1.3 percent since last year.	1	The cost of living has increased by only 1.3 percent since last year.	The cost of living has increased by at least 1.3 percent since last year.
Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.	1	Desegregation was fortunately becoming disbanded in Charlotte because of the magnet schools.	Desegregation was becoming disbanded in Charlotte at the fault of the magnet schools.
My sister married one of her friends.	1	My sister wed one of her friends.	My sister conducted the marriage for one of her friends.
The Department of Education is responsible for Title IX.	1	The Department of Education is responsible for enforcing Title IX.	The Department of Education is responsible for the creation of Title IX.
The novel is always appropriate for school.	1	The novel is always considered appropriate for school.	The novel is always appropriate for school, in principle.
The old procedure was inefficient and costly.	1	The old procedure was more inefficient and costly.	The old procedure was completely inefficient and costly.
Noah wonders which picture of himself Carlos likes best.	1	Noah wonders which picture of Noah Carlos likes best.	Noah wonders which picture of Carlos that Carlos likes best.
They could have afforded it if they had wanted to.	1	They could have afforded it if they had wanted to be able to.	They could have afforded it if they had wanted to buy it.
