text	is_ambiguous	ambig_status
The man saw the woman with the telescope.	0	1
The woman saw the man with the telescope.	0	1
Man with the saw telescope woman the with.	1	0
The man saw the woman with the microscope.	0	1
The man saw the woman with the monoscope.	1	1
The man saw the woman with the spyglass.	0	1
The man saw the woman with the binoculars.	0	1
The man saw the woman with the camera.	0	1
The man saw the woman with the phone.	1	1
The man saw the woman with the polaroid.	0	1
The man saw the woman with the glasses.	0	1
The man saw the woman with the eyepiece.	0	1
The man saw the woman with the monocular.	0	1
The man saw the woman with the dress.	0	0
The man saw the woman with the book.	1	0
The man saw the woman with the desk.	1	0
The man saw the woman with the curtains.	1	0
The man saw the woman with the box.	1	0
The man saw the woman with the present.	0	0
The man saw the woman with the dophin.	1	0
The man saw the woman with the suitcase.	0	0
The man saw the woman with the gyroscope.	0	0
The man saw the woman with the horoscope.	0	0
The scientist saw the woman with the telescope.	0	1
The guy saw the woman with the telescope.	1	1
John saw the woman with the telescope.	0	1
Alex saw the woman with the telescope	0	1
Mary saw the woman with the telescope.	0	1
Jenny saw the woman with the telescope.	0	1
The nurse saw the woman with the telescope.	0	1
The detective saw the woman with the telescope.	0	1
The child saw the woman with the telescope.	0	1
The student saw the woman with the telescope.	0	1
The teacher saw the woman with the telescope.	0	1
The woman saw the woman with the telescope.	1	1
The girl saw the woman with the telescope.	0	1
The boy saw the woman with the telescope.	0	1
The mother saw the woman with the telescope.	1	1
The father saw the woman with the telescope.	0	1
The artist saw the woman with the telescope.	0	1
The explorer saw the woman with the telescope.	0	1
The king saw the woman with the telescope.	0	1
The queen saw the woman with the telescope.	0	1
The weather saw the woman with the telescope.	1	0
The window saw the woman with the telescope.	1	0
The ocean saw the woman with the telescope.	1	0
The alike saw the woman with the telescope.	0	0
The plant saw the woman with the telescope.	0	0
The break saw the woman with the telescope.	1	0
The vase saw the woman with the telescope.	1	0
The blue saw the woman with the telescope.	0	0
The orange saw the woman with the telescope.	0	0
The telescope saw the man with the woman.	1	0
The glass saw the woman with the telescope.	0	0
The mug saw the woman with the telescope.	0	0
The popcorn saw the woman with the telescope.	0	0
The newspaper saw the woman with the telescope.	1	0
The chair saw the woman with the telescope.	1	0
The can saw the woman with the telescope.	1	0
The ran saw the woman with the telescope.	0	0
The tan saw the woman with the telescope.	0	0
The van saw the woman with the telescope.	1	0
The pan saw the woman with the telescope.	0	0
The man saw the student with the telescope.	0	1
The man saw the guy with the telescope.	0	1
The man saw John with the telescope.	1	1
The man saw Alex with the telescope.	0	1
The man saw Mary with the telescope.	1	1
The man saw Jenny with the telescope.	0	1
The man saw the nurse with the telescope.	1	1
The man saw the detective with the telescope.	0	1
The man saw the scientist with the telescope.	0	1
The man saw the child with the telescope.	0	1
The man saw the teacher with the telescope.	1	1
The man saw the man with the telescope.	1	1
The man saw the girl with the telescope.	0	1
The man saw the boy with the telescope.	0	1
The man saw the mother with the telescope.	1	1
The man saw the father with the telescope.	1	1
The man saw the king with the telescope.	1	1
The man saw the queen with the telescope.	1	1
The man saw the artist with the telescope.	0	1
The man saw the explorer with the telescope.	0	1
The man saw the mountain with the telescope.	0	0
The man saw the ocean with the telescope.	1	0
The man saw the city with the telescope.	0	0
The man saw the beer with the telescope.	0	0
The man saw the ruins with the telescope.	0	0
The man saw the rain with the telescope.	1	0
The man saw the weather with the telescope.	0	0
The man saw the hello with the telescope.	1	0
The man saw the bee with the telescope.	1	0
