sentence,change_type,is_ambiguous,premise1,premise2
The man saw the woman with the telescope.,original,1,The man used the telescope to see the woman.,The man saw the woman who had the telescope.
The woman saw the man with the telescope.,inverse_object,1,The woman used the telescope to see the man.,The woman saw the man who had the telescope.
Man with the saw telescope woman the with.,impossible,0,,
The man saw the woman with the microscope.,pp_synonym,1,The man used the microscope to see the woman.,The man saw the woman who had the microscope.
The man saw the woman with the monoscope.,pp_synonym,1,The man used the monoscope to see the woman.,The man saw the woman who had the monoscope.
The man saw the woman with the spyglass.,pp_synonym,1,The man used the spyglass to see the woman.,The man saw the woman who had the spyglass.
The man saw the woman with the binoculars.,pp_synonym,1,The man used the binoculars to see the woman.,The man saw the woman who had the binoculars.
The man saw the woman with the camera.,pp_synonym,1,The man used the camera to see the woman.,The man saw the woman who had the camera.
The man saw the woman with the phone.,pp_synonym,1,The man used the phone to see the woman.,The man saw the woman who had the phone.
The man saw the woman with the polaroid.,pp_synonym,1,The man used the polaroid to see the woman.,The man saw the woman who had the polaroid.
The man saw the woman with the glasses.,pp_synonym,1,The man used the glasses to see the woman.,The man saw the woman who had the glasses.
The man saw the woman with the eyepiece.,pp_synonym,1,The man used the eyepiece to see the woman.,The man saw the woman who had the eyepiece.
The man saw the woman with the monocular.,pp_synonym,1,The man used the monocular to see the woman.,The man saw the woman who had the monocular.
The man saw the woman with the dress.,pp_random,0,,
The man saw the woman with the book.,pp_random,0,,
The man saw the woman with the desk.,pp_random,0,,
The man saw the woman with the curtains.,pp_random,0,,
The man saw the woman with the box.,pp_random,0,,
The man saw the woman with the present.,pp_random,0,,
The man saw the woman with the dophin.,pp_random,0,,
The man saw the woman with the suitcase.,pp_random,0,,
The man saw the woman with the gyroscope.,pp_random_rhyme,0,,
The man saw the woman with the horoscope.,pp_random_rhyme,0,,
The scientist saw the woman with the telescope.,subj_synonym,1,The man used the telescope to see the woman.,The man saw the woman who had the telescope.
The guy saw the woman with the telescope.,subj_synonym,1,,
John saw the woman with the telescope.,subj_synonym,1,,
Alex saw the woman with the telescope,subj_synonym,1,,
Mary saw the woman with the telescope.,subj_synonym,1,,
Jenny saw the woman with the telescope.,subj_synonym,1,,
The nurse saw the woman with the telescope.,subj_synonym,1,,
The detective saw the woman with the telescope.,subj_synonym,1,,
The child saw the woman with the telescope.,subj_synonym,1,,
The student saw the woman with the telescope.,subj_synonym,1,,
The teacher saw the woman with the telescope.,subj_synonym,1,,
The woman saw the woman with the telescope.,subj_synonym,1,,
The girl saw the woman with the telescope.,subj_synonym,1,,
The boy saw the woman with the telescope.,subj_synonym,1,,
The mother saw the woman with the telescope.,subj_synonym,1,,
The father saw the woman with the telescope.,subj_synonym,1,,
The artist saw the woman with the telescope.,subj_synonym,1,,
The explorer saw the woman with the telescope.,subj_synonym,1,,
The king saw the woman with the telescope.,subj_synonym,1,,
The queen saw the woman with the telescope.,subj_synonym,1,,
The weather saw the woman with the telescope.,subj_random,0,,
The window saw the woman with the telescope.,subj_random,0,,
The ocean saw the woman with the telescope.,subj_random,0,,
The alike saw the woman with the telescope.,subj_random,0,,
The plant saw the woman with the telescope.,subj_random,0,,
The break saw the woman with the telescope.,subj_random,0,,
The vase saw the woman with the telescope.,subj_random,0,,
The blue saw the woman with the telescope.,subj_random,0,,
The orange saw the woman with the telescope.,subj_random,0,,
The telescope saw the man with the woman.,subj_random,0,,
The glass saw the woman with the telescope.,subj_random,0,,
The mug saw the woman with the telescope.,subj_random,0,,
The popcorn saw the woman with the telescope.,subj_random,0,,
The newspaper saw the woman with the telescope.,subj_random,0,,
The chair saw the woman with the telescope.,subj_random,0,,
The can saw the woman with the telescope.,subj_random_rhyme,0,,
The ran saw the woman with the telescope.,subj_random_rhyme,0,,
The tan saw the woman with the telescope.,subj_random_rhyme,0,,
The van saw the woman with the telescope.,subj_random_rhyme,0,,
The pan saw the woman with the telescope.,subj_random_rhyme,0,,
The man saw the student with the telescope.,obj_synonym,1,,
The man saw the guy with the telescope.,obj_synonym,1,,
The man saw John with the telescope.,obj_synonym,1,,
The man saw Alex with the telescope.,obj_synonym,1,,
The man saw Mary with the telescope.,obj_synonym,1,,
The man saw Jenny with the telescope.,obj_synonym,1,,
The man saw the nurse with the telescope.,obj_synonym,1,,
The man saw the detective with the telescope.,obj_synonym,1,,
The man saw the scientist with the telescope.,obj_synonym,1,,
The man saw the child with the telescope.,obj_synonym,1,,
The man saw the teacher with the telescope.,obj_synonym,1,,
The man saw the man with the telescope.,obj_synonym,1,,
The man saw the girl with the telescope.,obj_synonym,1,,
The man saw the boy with the telescope.,obj_synonym,1,,
The man saw the mother with the telescope.,obj_synonym,1,,
The man saw the father with the telescope.,obj_synonym,1,,
The man saw the king with the telescope.,obj_synonym,1,,
The man saw the queen with the telescope.,obj_synonym,1,,
The man saw the artist with the telescope.,obj_synonym,1,,
The man saw the explorer with the telescope.,obj_synonym,1,,
The man saw the mountain with the telescope.,obj_random,0,,
The man saw the ocean with the telescope.,obj_random,0,,
The man saw the city with the telescope.,obj_random,0,,
The man saw the beer with the telescope.,obj_random,0,,
The man saw the ruins with the telescope.,obj_random,0,,
The man saw the rain with the telescope.,obj_random,0,,
The man saw the weather with the telescope.,obj_random,0,,
The man saw the hello with the telescope.,obj_random,0,,
The man saw the bee with the telescope.,obj_random,0,,
The man saw the popcorn with the telescope.,obj_random,0,,
The man saw the diamond with the telescope.,obj_random,0,,
The man saw the happy with the telescope.,obj_random,0,,
The man saw the metal with the telescope.,obj_random,0,,
The man saw the orange with the telescope.,obj_random,0,,
The man saw the hair with the telescope.,obj_random,0,,
The man saw the linen with the telescope.,obj_random_rhyme,0,,
The man saw the kitchen with the telescope.,obj_random_rhyme,0,,
The man saw the listen with the telescope.,obj_random_rhyme,0,,
The man saw the given with the telescope.,obj_random_rhyme,0,,
The man saw the smitten with the telescope.,obj_random_rhyme,0,,
The boy saw the girl with the telescope.,all_synonym,1,,
The artist saw the king with the binoculars.,all_synonym,1,,
The teacher saw the student with the phone.,all_synonym,1,,
Alex saw Jenny with the camera.,all_synonym,1,,
John saw Mary with the spyglass.,all_synonym,1,,
Jenny saw Alex with the camera.,all_synonym,1,,
The king saw the queen with the telescope.,all_synonym,1,,
The scientist saw the artist with the telescope.,all_synonym,1,,
The biologist saw the student with the telescope.,all_synonym,1,,
The chemist saw the student with the microscope.,all_synonym,1,,
The hunter saw the queen with the binoculars.,all_synonym,1,,
The boy saw the girl with the telescope.,all_synonym,1,,
The girl saw the queen with the camera.,all_synonym,1,,
The girl saw the boy with the camera.,all_synonym,1,,
The detective saw the king with the spyglass.,all_synonym,1,,
The boy saw the detective with the spyglass.,all_synonym,1,,
The student saw the teacher with the phone.,all_synonym,1,,
The boy saw the detective with the monoscope.,all_synonym,1,,
The boy saw the girl with the glasses.,all_synonym,1,,
Alex saw the king with the glasses.,all_synonym,1,,
Alex saw the telescope with the king.,all_random,0,,
The boy saw the girl with the dress.,all_random,0,,
The woman saw the boy with the car.,all_random,0,,
The telescope saw the girl with the dress.,all_random,0,,
The telescope saw the dog with the house.,all_random,0,,
The chemist saw the telescope with the girl.,all_random,0,,
