text	is_ambiguous	ambig_status
('It’s not easy to wreck a nice beach.', 'It’s not easy to recognize speech.')	0	1
('', '')	0	0
('It’s not easy to wreck a good beach.', 'It’s not easy to recognize speech.')	0	0
('It’s not easy to wreck a nice beach.', 'It’s not easy to identify speech.')	0	0
('It’s not easy to destroy a nice beach.', 'It’s not easy to recognize speech.')	0	0
('It’s not easy to wreck a nice beach.', 'It’s not easy to recognize talk.')	0	0
('', '')	0	0
('It’s not easy to wreck a nice peach.', 'It’s not easy to recognize speech.')	0	1
('It’s not easy to wreck a nice beach.', 'It’s not easy to recognize bleach.')	1	0
('It’s not easy to rec a nice beach.', 'It’s not easy to recognize speech.')	1	1
('It’s not easy to wreck a nice beach.', 'It’s not sleezy to recognize speech.')	0	0
('', '')	0	0
('It’s not easy to wreck a nice window.', 'It’s not easy to recognize speech.')	0	0
('It’s not easy to wreck a nice beach.', 'It’s not easy to recognize people.')	0	0
('It’s not easy to wreck a nice castle.', 'It’s not easy to recognize speech.')	0	0
('It’s not easy to wreck a nice beach.', 'It’s not easy to produce speech.')	1	0
('', '')	0	0
('I saw a sea monster.', 'I saw a seam on stir.')	1	1
('', '')	0	0
('I saw a sea creature.', 'I saw a seam on stir.')	0	0
('I saw a sea monster.', 'I observed a seam on stir.')	1	0
('I saw a marine monster.', 'I saw a seam on stir.')	0	0
('I saw a sea monster.', 'I saw a stitching on stir.')	0	0
('', '')	0	0
('I saw a brie monster.', 'I saw a seam on stir.')	1	0
('I saw a sea monster.', 'I saw a team on stir.')	0	0
('I draw a sea monster.', 'I saw a seam on stir.')	0	0
('I saw a sea monster.', 'I saw a seam on fur.')	0	0
('', '')	0	0
('I saw a sea castle.', 'I saw a seam on stir.')	0	0
('I saw a sea monster.', 'I produced a seam on stir.')	1	0
('I saw a window monster.', 'I saw a seam on stir.')	1	0
('I saw a sea monster.', 'I saw a seam on fire.')	0	0
('', '')	0	0
('She sells seashells by the seashore.', 'She sells sea shells buy the sea sure.')	1	1
('', '')	0	0
('She markets seashells by the seashore.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'She sells ocean shells buy the sea sure.')	1	0
('She sells seashells by the coast.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'She sells sea carapaces buy the sea sure.')	0	0
('', '')	0	0
('She tells seashells by the seashore.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'She sells tea shells buy the sea sure.')	0	0
('She bells seashells by the seashore.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'She sells free shells buy the sea sure.')	0	0
('', '')	0	0
('She sells windows by the seashore.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'She sells sea bells buy the sea sure.')	0	0
('She sells seashells by the castle.', 'She sells sea shells buy the sea sure.')	1	0
('She sells seashells by the seashore.', 'He sells sea shells buy the fire sure.')	0	0
('', '')	0	0
"('Whale meat again.', ""We'll meet again."")"	1	1
('', '')	0	0
"('Whale flesh again.', ""We'll meet again."")"	0	0
