text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man used a telescope to see the woman.', 'The man saw the woman who was holding a telescope.']	1
The woman saw the man with the telescope.	1	['The woman used a telescope to see the man.', 'The woman saw the man who was holding a telescope.']	1
Man with the saw telescope woman the with.	0	[]	0
The man saw the woman with the microscope.	1	['The man used the microscope to see the woman.', 'The man saw the woman who was using a microscope.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman using a monoscope.', 'The man saw the woman with a monoscope, meaning he saw her in a specific way or from a particular angle.']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using the spyglass.', 'The man saw the woman and had a spyglass.']	1
The man saw the woman with the binoculars.	1	['The man saw the woman using the binoculars.', 'The man saw the woman from a distance with the help of binoculars.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding a camera.', 'The man saw the woman using a camera to take a picture.']	1
The man saw the woman with the phone.	1	['The man saw the woman holding a phone.', 'The man saw the woman who was on the phone.']	1
The man saw the woman with the polaroid.	1	['The man saw the woman holding a polaroid camera.', 'The man saw the woman as a subject in a photograph taken with a polaroid camera.']	1
The man saw the woman with the glasses.	1	['The man saw a woman wearing glasses.', 'The man saw a woman who was with a woman wearing glasses.']	1
The man saw the woman with the eyepiece.	1	['The man saw the woman wearing an eyepiece.', 'The man saw the woman using an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man saw the woman using a monocular.', 'The man saw the woman with (near or in) a monocular.']	1
The man saw the woman with the dress.	1	['The man saw the woman wearing the dress.', 'The man saw the woman who was with the dress (as in holding or carrying it).']	0
The man saw the woman with the book.	1	['The man saw the woman holding a book.', 'The man saw the woman who was a writer of a book.']	0
The man saw the woman with the desk.	1	['The man saw the woman near a desk.', 'The man saw the woman using a desk.']	0
The man saw the woman with the curtains.	1	['The man saw the woman who had the curtains on her windows.', 'The man saw the woman holding the curtains.']	0
The man saw the woman with the box.	1	['The man saw a woman who was carrying a box.', 'The man saw a woman near a box.']	0
The man saw the woman with the present.	1	['The man saw the woman holding a present.', 'The man saw the woman who was giving a present to someone else.']	0
The man saw the woman with the dophin.	1	['The man saw the woman and she was holding a dolphin.', 'The man saw the woman with a group of dolphins nearby.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman carrying a suitcase.', 'The man saw the woman who was with a suitcase (indicating an association or relationship).']	0
The man saw the woman with the gyroscope.	1	['The man saw the woman holding or carrying a gyroscope.', 'The man saw the woman on or near a gyroscope.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman holding a horoscope, like a newspaper or a palm reading device.', 'The man saw the woman having a horoscope reading, meaning he witnessed her getting a palm reading or astrological reading.']	0
