sentence	ambig_status	disambiguation_1	disambiguation_2
Most students take out loans to pay for their education.	0	Most students take out loans to pay for their education.	Most students take out loans to pay for their education.
The engineers created a computer model that could take into account the flow of water, wind, and other factors.	0	The engineers created a computer model that could take into account the flow of water, wind, and other factors.	The engineers created a computer model that could take into account the flow of water, wind, and other factors.
The company should pull out of the country.	0		
The ground is wet.	0		
The average American worker spends nearly two hours a day reading and answering e-mail.	0		
The teacher asked the students if they could name the countries in North America.	1	The teacher asked the students to name the countries in North America.	The teacher asked the students if they are able to name the countries in North America.
A little over two thirds of the world's population is literate.	0		
A one-size-fits-all approach is the best way to deal with the problem.	0	A one-size-fits-all approach is the best way to deal with the problem.	A one-size-fits-all approach is the best way to deal with the problem.
Last year's graduation rate was lower than the year before.	0		
The methods of the protesters are disruptive and sometimes even violent.	0		
Vegans are not automatically healthy.	0		
It's hard to see how the company could not make a profit.	0		
In order to improve your math skills, one of the best things you can do is get a tutor.	0		
The defendant is guilty.	0		
He is not very short.	0		
There is a problem.	0		
I was not sure what to expect, but I was prepared for the worst.	0		
I was hoping to see you at the meeting.	1	I was hoping to see you at the meeting of people	I was hoping to see you at the work meeting.
The students will complete the assignment.	0		
You are not required to attend a meeting.	0		
Increasing the number of police officers on the streets is the best way to reduce crime.	0		
She always carries a picture of her favorite actor in her wallet.	0		
The novel is still one of the most popular books of all time because it has been banned in several countries.	0		
The median of the sample is 14.2 and the range is 3.1.	0		
The evidence does not support the conclusion that the intervention was ineffective.	1	The evidence does not support the conclusion reached, which was that the intervention was ineffective.	The evidence does not support a possible conclusion that the intervention was ineffective.
She gets whatever she wants because she's the boss's daughter.	1	She gets whatever she wants in part because she's the boss's daughter.	She gets whatever she wants in part because she's the boss's daughter.
A show that was once so popular is now struggling to find viewers.	0	A show that was once so popular is now struggling to find viewers.	A show that was once so popular is now struggling to find viewers.
If you don't practice, you'll never get better.	0	If you don't practice, you'll never get better.	If you don't practice, you'll never get better.
A tiny minority of people in the world are monolingual.	0		
The teacher's assistant was looking through the books in the library.	0		
Even though he was in his mid-fifties, my grandfather was still young.	0		
We can assume that the market will continue to grow at the same rate.	0		
The number of people swimming in the ocean has increased.	0		
I am a writer.	0		
The city is not as safe as its reputation suggests.	0		
The school grounds were empty except for a group of boys playing tag.	0		
I'm sorry I couldn't make it to your party.	0		
The old plan is not going to work.	0		
Glass is a popular material.	0	Glass is a popular material.	Glass is a popular material.
He refused to give up because he was failing.	1	He refused to give up as a result of his failing.	He refused to give up, because he was failing.
All of my friends have been affected by the recent lay-offs.	0	All of my friends have been affected by the recent lay-offs.	All of my friends have been affected by the recent lay-offs.
Healthcare is a complex and multi-faceted issue.	0		
We will be able to track our spending and ensure that we are getting the most for our money.	0		
The novel's antagonist is a young woman who is trying to find her place in the world.	0		
The council will deliberate on the matter and make a cake next week.	0		
The drawbacks of the Internet outweigh the benefits.	0		
Some of the students are required to wear uniforms.	1	Some, perhaps all, of the students are required to wear uniforms.	Some of the students are required to wear uniforms, and others are not.
Some of the lights were out.	1	Some of the lights were out, others were on.	At least some of the lights were out.
The treatment should result in a change in the outcome variable.	0		
I'm going to have to miss your birthday.	0		
It is easy to get to the new hospital.	0	It is easy to get to the new hospital.	It is easy to get to the new hospital.
The employer did not fail to pay the employees for overtime work.	0		
The treasurer is not authorized to borrow funds.	0	The treasurer is not authorized to borrow funds.	The treasurer is not authorized to borrow funds.
The merger was not approved.	0		
A man and woman can be married to each other.	0		
He will be able to do it.	0		
Unhappy people are more likely to be successful.	0	Unhappy people are more likely to be successful.	Unhappy people are more likely to be successful.
More conscientious people are more likely to be successful.	0	More conscientious people are more likely to be successful.	More conscientious people are more likely to be successful.
Other people, when they think about retirement, imagine a life of boredom, free from the stimulation of a 9-to-5 job.	0		
I haven't lived outside of Seattle.	0	I haven't lived outside of Seattle.	I haven't lived outside of Seattle.
We're not going to be able to keep doing things the way we've been doing them.	0		
In this new world, the only way to survive is to become a \"gatherer.\"	0		
In order to get out of the country, all visitors must have a valid passport.	0		
I don't want to see the movie.	0	I don't want to see the movie.	I don't want to see the movie.
The world is constantly changing, and we need to change with it.	0	The world is constantly changing, and we need to change with it.	The world is constantly changing, and we need to change with it.
The citation count of a professor matters to her.	0	The citation count of a professor matters to her.	The citation count of a professor matters to her.
He wants to help people when he grows up.	0		
I can't believe that it happened.	0		
The coach told the team that they needed to work harder if they wanted to get better.	0		
I haven't seen her in a long time.	0	I haven't seen her in a long time.	I haven't seen her in a long time.
I am confused.	0		
The plane has been delayed for two hours.	0		
The effects of global warming can be understood by using our model.	0		
She is selfish.	0		
I am sure you're telling me a lie.	0		
He is a professional musician.	0	He is a professional musician.	He is a professional musician.
The power is still out in the city.	0		
The theory is that if we have a good understanding of the past, we will be able to make good decisions in the present.	0		
The defense does not have to prove that the defendant is innocent.	1	The defense does not have to prove that the defendant is definitely innocent.	The defense does not have to prove that the defendant is legally innocent.
I don't agree with you.	0	I don't agree with you.	I don't agree with you.
The client's needs are always clear.	0		
I have to leave for my dentist's appointment in five minutes.	0		
The company will be able to expand.	0		
We use models to simplify complex systems.	0		
The problem cannot be solved without a meeting.	0	The problem cannot be solved without a meeting.	The problem cannot be solved without a meeting.
Despite its faults, the new system is an improvement over the old one.	0		
The organization needs to flatten its structure.	1	The organization is moving to flatten its structure.	It is necessary that the organization flattens its structure.
The coffee was so hot that it scalded his tongue.	0		
It's eight o'clock.	0		
The company and the union have been negotiating a new contract.	0	The company and the union have been negotiating a new contract.	The company and the union have been negotiating a new contract.
Mary's sister is shorter than her.	0		
I saw the sequel.	0		
He was not expecting the reading test to be so difficult.	0		
The sound of the waves can be heard from the shore.	0		
The ocean is not always peaceful.	0		
The government has been investing more money in renewable energy for years.	0		
The company already has stores in the US.	0	The company already has stores in the US.	The company already has stores in the US.
I went outside to investigate the noise.	0		
Some people believe that extraterrestrial life exists in our solar system.	0		
It is a good idea to take a break from work every few hours to avoid burnout.	0		
There is a particular woman with a birth rate of once per year.	0	There is a particular woman with a birth rate of once per year.	There is a particular woman with a birth rate of once per year.
The man did not have straight hair.	0		
I know who is lying.	0	I know who is lying.	I know who is lying.
The employees were not entitled to overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.	1	The employees were not given overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.	The employees were not entitled, in principle, to overtime compensation because they were required to attend mandatory training sessions outside of their regular work hours.
She said I can leave at 6pm.	0	She said I can leave at 6pm.	She said I can leave at 6pm.
The company has a no-questions-asked policy when it comes to returns.	0		
He plays the violin beautifully.	0		
The findings suggest that a major problem for the development of B2B EC is the lack of understanding of the mechanisms that underpin the development of relationships.	0		
John opened the door before.	0	John opened the door before.	John opened the door before.
It is closed on Tuesdays.	0		
The class will discuss how to write a persuasive essay.	1	The class is about how to write a persuasive essay.	The class will, at some point, discuss how to write a persuasive essay.
The article is about the use of social media in the workplace.	0		
Trying to please everyone is impossible.	0		
The dog was very scared.	0		
The man was charged with second degree murder.	1	The man was charged only with second degree murder.	The man was charged with second degree murder, possibly among other charges.
Something tastes like fish.	0	Something tastes like fish.	Something tastes like fish.
There is no evidence that extraterrestrial life exists.	0		
The country has not rebuilt its infrastructure after years of war.	0		
I will be the only one wearing a pink dress.	0		
If you're not careful, you won't pass your driving test.	0		
We cannot be sure that the meeting will not be productive.	0		
The tornado ripped the roof off the farmhouse.	0		
The experts agree on this issue.	0		
I think that the new software is user-friendly.	0	I think that the new software is user-friendly.	I think that the new software is user-friendly.
A small number of people were willing to take the risk.	0	A small number of people were willing to take the risk.	A small number of people were willing to take the risk.
Her tone of voice was not amused.	0		
The middle class is getting smaller and the poor are getting poorer.	0		
The poet laureate is a position given to a poet by a government or institution.	1	The poet laureate is a title given to a poet by a government or institution.	The poet laureate is a job given to a poet by a government or institution.
Many of the people who emigrated to the United States in the late 1800s were poor.	0	Many of the people who emigrated to the United States in the late 1800s were poor.	Many of the people who emigrated to the United States in the late 1800s were poor.
