text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man used a telescope to see the woman.', 'The man saw the woman who was holding a telescope.']	1
The woman saw the man with the telescope.	1	['The woman used a telescope to see the man.', 'The woman saw the man who was holding a telescope.']	1
Man with the saw telescope woman the with.	0	[]	0
The man saw the woman with the microscope.	1	['The man used the microscope to see the woman.', 'The man saw the woman who was using a microscope.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman using a monoscope.', 'The man saw the woman with a monoscope (possibly meaning she was near or had something like a monoscope).']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using the spyglass.', 'The man saw the woman and had a spyglass.']	1
The man saw the woman with the binoculars.	1	['The man was using the binoculars to see the woman.', 'The man saw the woman who was holding the binoculars.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding a camera.', 'The man saw the woman taking pictures with a camera.']	1
The man saw the woman with the phone.	1	['The man saw the woman using the phone.', 'The man saw the woman who was with a phone (but not using it).']	1
The man saw the woman with the polaroid.	1	['The man saw the woman holding a polaroid camera.', 'The man saw the woman as a subject in a photograph taken with a polaroid camera.']	1
The man saw the woman with the glasses.	1	['The man saw the woman wearing glasses.', 'The man saw the woman who was with someone wearing glasses.']	1
The man saw the woman with the eyepiece.	1	['The man saw the woman wearing an eyepiece.', 'The man saw the woman using an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man is using a monocular to see the woman.', 'The man sees the woman possessing a monocular.']	1
The man saw the woman with the dress.	1	['The man saw the woman wearing the dress.', 'The man saw the woman who was with the dress (possibly holding it or in possession of it).']	0
The man saw the woman with the book.	1	['The man saw the woman holding a book.', 'The man saw the woman who was a writer of a book.']	0
The man saw the woman with the desk.	1	['The man saw the woman near a desk.', 'The man saw the woman using a desk.']	0
The man saw the woman with the curtains.	1	['The man saw the woman who had the curtains on her windows.', 'The man saw the woman holding the curtains.']	0
The man saw the woman with the box.	1	['The man saw a woman who was carrying a box.', 'The man saw a woman near a box.']	0
The man saw the woman with the present.	1	['The man saw the woman holding a present.', 'The man saw the woman who had a present.']	0
The man saw the woman with the dophin.	1	['The man saw the woman and she was holding a dolphin.', 'The man saw the woman with a group of dolphins.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman carrying a suitcase.', 'The man saw the woman who was with a suitcase (indicating she was in a relationship with someone who had a suitcase).']	0
The man saw the woman with the gyroscope.	1	['The man saw the woman holding or carrying a gyroscope.', 'The man saw the woman on or near a gyroscope.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman holding a horoscope, like a newspaper or a palm reading device.', 'The man saw the woman having a horoscope reading, meaning he observed her getting her fortune told based on her birth date, month, and year.']	0
