text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man saw the woman while using the telescope, The man saw the woman who was looking through the telescope.']	1
The woman saw the man with the telescope.	1	['The woman saw the man who was using the telescope, The woman saw the man looking through the telescope with the telescope.']	1
Man with the saw telescope woman the with.	1	['Man is using a saw to look at a woman through a telescope, woman is using a saw to look at the man with a telescope.']	0
The man saw the woman with the microscope.	1	['The man saw the woman who was using a microscope, The man saw the woman with a microscope that she was using.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman with a telescope (monoscope being an old-fashioned term for a telescope), or The man saw the woman using a monoscope (a device used to examine the eye or a microscope used to examine small objects).']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using a spyglass to look at something else, or The man saw the woman who was using a spyglass.']	1
The man saw the woman with the binoculars.	1	['The man saw the woman while she was using the binoculars, The man saw a woman who was looking at something with the binoculars.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding the camera, The man saw the woman while the man was looking at the camera.']	1
The man saw the woman with the phone.	1	['The man saw the woman who was holding the phone, The man saw the woman while she was using the phone']	1
The man saw the woman with the polaroid.	1	['The man saw the woman who had a Polaroid camera, The man saw the woman with a Polaroid photograph.']	1
The man saw the woman with the glasses.	1	['The man saw the woman who was wearing glasses, The man saw the woman with the glasses on the table/tableau.']	1
The man saw the woman with the eyepiece.	1	['The man saw a woman who was looking through an eyepiece, The man saw a woman who was accompanied by someone with an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man saw a woman who was using a monocular (a single-lens telescope) to observe something, or The man saw a woman who had a monocular (a small telescope) as a distinguishing feature or characteristic.']	1
The man saw the woman with the dress.	1	['The man saw the woman who was wearing the dress, The man saw the woman with the dress on her (e.g. she was wearing it, or it was placed next to her) ']	0
The man saw the woman with the book.	1	['The man saw the woman who was holding the book, The man saw the woman with the book that she was reading.']	0
The man saw the woman with the desk.	1	['The man saw the woman who was sitting at the desk, The man saw the woman with a desk (e.g. a piece of furniture) in her possession.']	0
The man saw the woman with the curtains.	1	['The man saw the woman who was standing behind the curtains, The man saw the woman holding the curtains']	0
The man saw the woman with the box.	1	['The man saw the woman who had the box, The man saw the woman while the man was looking at the box']	0
The man saw the woman with the present.	1	['The man saw the woman who had the present, The man saw the woman with a present.']	0
The man saw the woman with the dophin.	1	['The man saw the woman who was with the dolphin, The man saw the woman and the dolphin.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman who was carrying the suitcase, The man saw the woman and then saw the suitcase.']	0
The man saw the woman with the gyroscope.	1	['The man saw a woman who was holding a gyroscope, The man saw a woman with a gyroscope as her companion or accessory.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman who had a horoscope (e.g. a birth chart), The man saw the woman with a sign or symbol indicating her astrological sign (e.g. a Pisces symbol)']	0
The scientist saw the woman with the telescope.	1	['The scientist saw the woman with the telescope, looking at something through it; The scientist saw the woman using the telescope to look at something.']	1
The guy saw the woman with the telescope.	1	['The guy saw the woman who was using the telescope, The guy saw the woman looking through the telescope with the telescope.']	1
John saw the woman with the telescope.	1	['John saw a woman who was using a telescope, John saw a woman that he saw through a telescope.']	1
Alex saw the woman with the telescope	1	['Alex saw a woman who was using a telescope, Alex saw a woman who was looking at something or someone with a telescope']	1
Mary saw the woman with the telescope.	1	['Mary saw a woman who was using a telescope, Mary saw a woman who was looking at something or someone with a telescope.']	1
Jenny saw the woman with the telescope.	1	['Jenny saw a woman who was using a telescope, Jenny saw a woman that she could see through a telescope.']	1
The nurse saw the woman with the telescope.	1	['The nurse saw the woman who was using the telescope, The nurse saw a woman with a telescope that she was looking at.']	1
The detective saw the woman with the telescope.	1	['The detective saw a woman who was using a telescope, The detective saw a woman who had a telescope.']	1
The child saw the woman with the telescope.	1	['The child saw a woman who was using a telescope, The child saw a woman who was with someone who was using a telescope.']	1
The student saw the woman with the telescope.	1	['The student saw a woman who was using a telescope, The student saw a woman who was being looked at through a telescope.']	1
The teacher saw the woman with the telescope.	1	['The teacher saw a woman while using a telescope, The teacher saw a woman who was using a telescope to look at something.']	1
The woman saw the woman with the telescope.	1	['The woman saw a woman who was using a telescope, The woman saw a woman with a telescope, i.e. a woman who possesses or is associated with a telescope.']	1
The girl saw the woman with the telescope.	1	['The girl saw a woman who was using a telescope, The girl saw a woman who was being looked at by someone using a telescope.']	1
The boy saw the woman with the telescope.	1	['The boy saw a woman who was using a telescope, The boy saw a woman who was being looked at through a telescope.']	1
The mother saw the woman with the telescope.	1	['The mother saw a woman who was using a telescope, The mother saw a woman who was being looked at through a telescope.']	1
The father saw the woman with the telescope.	1	['The father saw a woman who was using a telescope, The father saw a woman who was being looked at through a telescope.']	1
The artist saw the woman with the telescope.	1	['The artist saw a woman who was using a telescope, The artist saw a woman who had a telescope.']	1
The explorer saw the woman with the telescope.	1	['The explorer saw the woman who was using the telescope, The explorer saw the woman with the telescope that she was looking through.']	1
The king saw the woman with the telescope.	1	['The king saw a woman who was using a telescope, The king saw a woman who was being looked at through a telescope.']	1
The queen saw the woman with the telescope.	1	['The queen saw the woman who was using the telescope, The queen saw the woman with the telescope that she was looking at.']	1
The weather saw the woman with the telescope.	1	['The weather observed the woman with the telescope (the weather was the one doing the observing), The weather was the woman who had the telescope (the weather was a woman possessing the telescope)']	0
The window saw the woman with the telescope.	1	['The window, a window, saw the woman with the telescope.', 'The window saw the woman, and the telescope was possessed by her.']	0
The ocean saw the woman with the telescope.	1	['The ocean, as a witness, saw the woman with the telescope; The ocean, as a physical body of water, was observed by the woman using the telescope.']	0
The alike saw the woman with the telescope.	1	['The alike saw the woman with a telescope, The alike saw the woman who had a telescope.']	0
The plant saw the woman with the telescope.	1	['The plant had a telescope and used it to see the woman, The plant was being observed by a woman using a telescope.']	0
The break saw the woman with the telescope.	1	['The break refers to a break in a piece of equipment, and the woman is using the telescope to observe something. The break refers to a moment in time, and the woman is seen using the telescope during that moment.']	0
The vase saw the woman with the telescope.	1	['The vase is equipped with a telescope and saw the woman, The woman is using a telescope to look at the vase and saw her.']	0
The blue saw the woman with the telescope.	1	['The blue saw the woman with the telescope, The blue color of something saw a woman who was using a telescope.']	0
The orange saw the woman with the telescope.	1	['The orange fruit saw a woman who was using a telescope, The orange color saw the woman who was using a telescope.']	0
The telescope saw the man with the woman.	1	['The telescope saw a man who was with a woman, The telescope saw a man and a woman together, with the telescope seeing them.']	0
