text	is_ambiguous	disambiguations
The man saw the woman with the telescope.	true	['The man saw the woman who was using the telescope, The man saw the woman looking through the telescope']
The woman saw the man with the telescope.	true	['The woman saw the man who was using the telescope, The woman saw the man with the telescope in her possession.']
Man with the saw telescope woman the with.	true	['Man is using a telescope to look at a woman with something, Man is a woman who is using a telescope with something.']
The man saw the woman with the microscope.	true	['The man saw the woman who was using the microscope, The man saw the woman looking at the woman through the microscope.']
The man saw the woman with the monoscope.	true	['The man saw the woman using a monoscope (a device used for observing small objects), The man saw the woman with a monoscope (a device for magnifying objects or a telescope) or The man saw a woman with a monocle (a decorative eyeglass lens)']
The man saw the woman with the spyglass.	true	['The man saw the woman using a spyglass (a handheld telescope) to observe something.', 'The man saw a woman who was a spy, and he saw her with a spyglass (a term for a spy or secret agent).']
The man saw the woman with the binoculars.	true	['The man saw the woman who was using the binoculars, The man saw the woman with the binoculars, meaning she was in possession of them.']
The man saw the woman with the camera.	true	['The man saw the woman who was holding a camera, The man saw the woman taking a picture with a camera']
The man saw the woman with the phone.	true	['The man saw the woman who was holding the phone, The man saw the woman and then saw the phone.']
The man saw the woman with the polaroid.	true	['The man saw the woman who was holding a Polaroid camera, The man saw a picture of the woman taken with a Polaroid camera.']
The man saw the woman with the glasses.	true	['The man saw the woman who was wearing glasses, The man saw the woman with the glasses as an accessory or a possession.']
The man saw the woman with the eyepiece.	true	['The man saw the woman who was looking through the eyepiece, The man saw the woman with a pair of glasses that had an eyepiece.']
The man saw the woman with the monocular.	true	['The man saw a woman who was using a monocular device to magnify something, The man saw a woman who had only one eye and was using a monocular, a device that helps people with vision impairments.']
The man saw the woman with the dress.	true	['The man saw the woman wearing the dress, The man saw the woman with someone else wearing the dress.']
The man saw the woman with the book.	true	['The man saw the woman who was holding the book, The man saw the woman reading the book']
The man saw the woman with the desk.	true	['The man saw the woman standing next to a desk, The man saw a woman who was sitting at a desk.']
The man saw the woman with the curtains.	true	['The man saw the woman who was standing in front of the curtains, The man saw the woman holding or operating the curtains.']
The man saw the woman with the box.	true	['The man saw the woman who was carrying the box, The man saw a woman with a box.']
