text	is_ambiguous	disambiguations	ambig_status
The man saw the woman with the telescope.	1	['The man saw the woman while using the telescope, The man saw the woman who was looking through the telescope.']	1
The woman saw the man with the telescope.	1	['The woman saw the man who was using a telescope, The woman saw the man with the telescope (in her possession) or near him.']	1
Man with the saw telescope woman the with.	1	['Man is using a saw to look at a woman with a telescope, Man is a man who has a saw and a telescope, and he is looking at a woman.']	0
The man saw the woman with the microscope.	1	['The man saw the woman who was using the microscope, The man saw the woman holding the microscope.']	1
The man saw the woman with the monoscope.	1	['The man saw the woman using a monoscope (a type of astronomical telescope), or The man saw the woman with a monoscope (a rare or unusual term for a microscope)!']	1
The man saw the woman with the spyglass.	1	['The man saw the woman using a spyglass, The man saw a woman who was a spy with a glass.']	1
The man saw the woman with the binoculars.	1	['The man saw the woman who was using the binoculars, The man saw the woman with the binoculars that the man was holding.']	1
The man saw the woman with the camera.	1	['The man saw the woman who was holding the camera, The man saw the woman while the man was using the camera.']	1
The man saw the woman with the phone.	1	['The man saw the woman who had the phone, The man saw the woman while she was using the phone.']	1
The man saw the woman with the polaroid.	1	['The man saw a woman who had a Polaroid camera, The man saw a woman who was a Polaroid (a type of instant photograph) with the camera itself.']	1
The man saw the woman with the glasses.	1	['The man saw a woman who was wearing glasses, The man saw a woman and also saw a pair of glasses that belonged to her.']	1
The man saw the woman with the eyepiece.	1	['The man saw a woman who was wearing an eyepiece, The man saw a woman looking through an eyepiece.']	1
The man saw the woman with the monocular.	1	['The man saw the woman who was using a monocular, The man saw the woman with a monocular device attached to her.']	1
The man saw the woman with the dress.	1	['The man saw the woman who was wearing the dress, The man saw the woman and the dress.']	0
The man saw the woman with the book.	1	['The man saw the woman who was holding the book, The man saw the woman and the book together.']	0
The man saw the woman with the desk.	1	['The man saw the woman who was sitting at the desk', 'The man saw the woman with a desk (e.g. a piece of furniture) that belonged to her or was nearby her']	0
The man saw the woman with the curtains.	1	"[""The man saw the woman while she was looking at the curtains, The man saw the woman and the curtains together (e.g., in a store or a room)'""]"	0
The man saw the woman with the box.	1	['The man saw the woman who had the box, The man saw the woman while she was holding the box.']	0
The man saw the woman with the present.	1	['The man saw the woman who was holding a present, The man saw the woman with a present (i.e. a gift) for someone else.']	0
The man saw the woman with the dophin.	1	['The man saw the woman who was with the dolphin, The man saw the woman and the dolphin.']	0
The man saw the woman with the suitcase.	1	['The man saw the woman who had a suitcase, The man saw the woman while she was carrying a suitcase']	0
The man saw the woman with the gyroscope.	1	['The man saw a woman who was holding a gyroscope, The man saw a woman and also saw a gyroscope.']	0
The man saw the woman with the horoscope.	1	['The man saw the woman who had a horoscope, The man saw the woman with a star chart or astrological chart.']	0
The scientist saw the woman with the telescope.	1	['The scientist saw the woman using the telescope, The scientist saw the woman who was using the telescope.']	1
The guy saw the woman with the telescope.	1	['The guy saw the woman who was using the telescope, The guy saw the woman with the telescope as an object, holding it in her hand.']	1
John saw the woman with the telescope.	1	['John saw a woman who was using a telescope, John saw a woman that he saw with a telescope.']	1
Alex saw the woman with the telescope	1	['Alex saw a woman who was using a telescope, Alex saw a woman who was the one operating the telescope.']	1
Mary saw the woman with the telescope.	1	['Mary saw a woman who was using a telescope, Mary saw a woman that she saw with a telescope.']	1
Jenny saw the woman with the telescope.	1	['Jenny saw a woman who was using a telescope, Jenny saw a woman that she saw with a telescope.']	1
The nurse saw the woman with the telescope.	1	['The nurse saw the woman who was using the telescope, The nurse saw the woman with a telescope that the nurse was using.']	1
The detective saw the woman with the telescope.	1	['The detective saw a woman who was using a telescope, The detective saw a woman who was with someone holding a telescope.']	1
