text	is_ambiguous	ambig_status
Education is expensive, and most students cannot pay for it without loans.	0	1
In order to solve this problem, the engineers needed to create a computer model that could take into account the flow of water, wind, and other factors.	0	1
They agreed that the company should pull out of the country.	0	0
It is raining.	0	0
According to the study, the average American worker spends nearly two hours a day reading and answering e-mail.	0	0
The teacher asked the students to name the countries in North America.	0	0
A little over a third of the world's population is illiterate.	0	0
It is not clear that a one-size-fits-all approach is the best way to deal with the problem.	1	1
The school's graduation rate has increased by five percent since last year.	0	0
Even people who agree with the goals of the protesters often find their methods to be disruptive and sometimes even violent.	0	0
A lot of people seem to think that vegans are automatically healthy.	0	0
It's hard to see how the company could make a profit.	0	0
In order to improve your math skills, one of the best things you can do is practice math every day.	0	0
The evidence is clear that the defendant is guilty of the crime.	0	0
He is not very tall.	0	0
The report says that there is a problem.	0	0
I was not sure what to expect, but I was hoping for the best.	0	0
I was hoping to see you at the party.	0	0
All of the students are expected to complete the assignment.	0	0
All of the students who are new to this school are required to attend a meeting.	0	0
We believe that the best way to reduce crime is to increase the number of police officers on the streets.	0	0
She always carries a picture of her family in her wallet.	0	0
Although the novel has been banned in several countries, it is still one of the most popular books of all time.	0	0
The mean of the sample is 14.2 and the standard deviation is 3.1.	0	0
The evidence does not support the conclusion that the intervention was effective.	0	1
It's not just because she's the boss's daughter that she gets whatever she wants.	0	1
It is hard to believe that a show that was once so popular is now struggling to find viewers.	0	1
The more you practice, the better you'll get.	0	1
The vast majority of people in the world are fluent in more than one language.	0	0
The teacher's assistant was grading papers in her office.	0	0
Even though he was in his mid-fifties, my grandfather was still in excellent health.	0	0
I don't think that we can assume that the market will continue to grow at the same rate.	0	0
It is not clear whether the recent increase in the number of shark attacks is due to an increase in the number of sharks or the number of people swimming in the ocean.	1	0
I’ve always wanted to be a writer.	0	0
In spite of its reputation for violence, the city is actually quite safe.	0	0
A group of boys were playing tag on the school grounds.	0	0
I'm going to have to miss your party.	0	0
We are going to have to come up with a new plan.	0	0
The fact that there are many different types of glass is evidence that it is a popular material.	0	1
Even though he was failing, he refused to give up.	0	0
A number of my friends have been affected by the recent lay-offs.	0	1
The issue of healthcare in the United States is complex and multi-faceted.	0	0
This makes it easier for us to track our spending and ensure that we are getting the most for our money.	0	0
The novel's protagonist is a young woman who is trying to find her place in the world.	0	0
The council will deliberate on the matter and make a decision next week.	0	0
Although it is controversial, most scholars believe that the benefits of the Internet outweigh the drawbacks.	0	0
All of the students are required to wear uniforms.	0	0
All of the lights were out.	0	0
If a treatment is effective, then it should result in a change in the outcome variable.	0	0
I'm going to have to miss your party.	0	0
The new hospital is close to the interstate, making it easy for patients to get there.	0	1
A group of employees filed a class action lawsuit against their employer, alleging that the employer had failed to pay them for overtime work.	0	0
In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.	1	1
The Board of Directors voted to approve the merger.	0	0
In some cases, a man and a woman can be married to each other.	0	0
I am confident that he will be able to do it.	0	0
The research shows that happy people are more likely to be successful.	0	1
The study found that people who are more conscientious are more likely to be successful.	0	1
Some people, when they think about retirement, imagine a life of leisure, free from the constraints of a 9-to-5 job.	0	0
I've only lived in the northern part of Seattle.	0	1
We're going to have to start making some changes around here.	1	0
"In this new world, the only way to survive is to become a \""hunter.\"""	0	0
