text	is_ambiguous	disambiguations	ambig_status
Your boss is a funny man.	True	['Your boss is a funny man who makes you laugh.', 'Your boss is a funny man who is always making jokes.']	1
A funny man is your boss.	True	['A funny man is your boss, meaning he is a boss who is also funny, or a boss who makes you laugh.']	1
Boss funny is man your.	True	['Boss funny is man your, and you are probably laughing.', 'Boss funny is man your, and he is probably the boss of the company.']	0
Your boss is a funny can.	True	['Your boss is a funny person who can make you laugh, or your boss is a funny person who is capable of making things humorous.']	0
Your boss is a funky man.	True	['Your boss is a funky man who is always pulling pranks, or your boss is a funky man who is always making funny faces.']	1
Your floss is a funny man.	True	['Your floss is a funny man, because he is always making you smile.', 'Your floss is a funny man, because he is easy to use.']	0
Your floss is a sunny can.	True	['Your floss is a sunny can of happiness, or your floss is a sunny can of fruit.']	0
Your principal is a funny man.	True	['Your principal is a funny man who makes you laugh, or your principal is a funny man who is always cracking jokes.']	1
Your boss is a humorous man.	True	['Your boss is a humorous man who often cracks jokes. Your boss is a humorous man who has a good sense of humor.']	0
Your boss is a funny person.	True	['Your boss is a funny person who makes you laugh, or your boss is a funny person who is always making jokes.']	1
Your chief is a humorous person.	True	['Your chief is a humorous person who makes you laugh, or your chief is a funny person who is always making jokes.']	0
Your boss is a happy man.	True	['Your boss is happy because he is successful, or your boss is happy because he is enjoying his work.']	0
Your rainbow is a funny man.	True	['Your rainbow is a funny man who is making you smile', 'Your rainbow is a funny man who is a symbol of happiness']	0
Your boss is a five man.	True	['Your boss is a five-man team leader, or your boss is a five-person team.']	0
Your boss is a bunny van.	True	['Your boss is a bunny van that is always running, or your boss is a bunny van that is parked.']	0
The speaker is at the front of the room.	True	['The speaker is at the front of the room, facing the audience.', 'The speaker is at the front of the room, facing the wall.']	1
At the front of the room is the speaker.	True	['The speaker is at the front of the room, facing the audience.', 'The speaker is at the front of the room, facing the wall.']	1
Of the room is the speaker at the front.	True	['The speaker is in the room at the front.', 'The speaker is talking about the room at the front.']	0
The speaker is in front of the broom.	True	['The speaker is in front of the broom handle, and the broom is standing upright.', 'The speaker is in front of the broom handle, and the broom is being held by the speaker.']	1
The reader is at the front of the room.	True	['The reader is at the front of the room, facing the audience.', 'The reader is at the front of the room, facing the speaker.']	0
The speaker is at the front of the coomb.	True	['The speaker is at the front of the coomb, facing the audience.', 'The speaker is at the front of the coomb, facing the wall.']	1
The reader is at the front of the bloom.	True	['The reader is at the front of the bloom, facing the direction of the text.', 'The reader is at the front of the bloom, facing the direction of the flower.']	1
The speaker is at the front of the chamber.	True	['The speaker is at the front of the chamber, facing the audience.', 'The speaker is at the front of the chamber, facing the wall.']	1
The loudspeaker is at the front of the room.	True	['The loudspeaker is at the front of the room, facing the audience.', 'The loudspeaker is at the front of the room, facing the wall.']	0
The lector is at the front of the room.	True	['The lector is at the front of the room, facing the students.', 'The lector is at the front of the room, giving a lecture.']	0
The lecturer is at the front of the chamber.	True	['The lecturer is at the front of the chamber, facing the students.', 'The lecturer is at the front of the chamber, preparing to give a lecture.']	0
The key is at the front of the room.	True	['The key is at the front of the room, referring to a specific location in the room', 'The key is at the front of the room, referring to the first item in a list']	0
The soda is at the front of the room.	True	['The soda is at the front of the room, in the center of the room.', 'The soda is at the front of the room, on the table.']	0
The telescope is at the front of the room.	True	['The telescope is at the front of the room, facing the sky.', 'The telescope is at the front of the room, facing the wall of the room.']	0
The speaker is at the front of the scene.	True	['The speaker is at the front of the scene, facing the audience.', 'The speaker is at the front of the scene, facing the camera.']	1
He's not very well off.	True	"[""He's not very well off financially, or he's not very well off in terms of his well-being.""]"	1
Not very well off he is.	True	['The man is not very well off financially, or he is not well-off in general.', 'The man is not very well-off in terms of his financial standing, or he is not well-off in terms of his overall well-being.']	1
Very not he well off is.	True	['The man is not well off, and he is unhappy.', 'The man is not well off, and he is sick.']	0
He's not very cell off.	True	"[""He's not very cell off, meaning he's not very intelligent, or he's not very far from the center of the cell.""]"	0
He is not verry tell off.	True	['He is not very telling off, but he might be trying to be funny.', 'He is not very telling off, but he might be serious.']	0
He is not verry bell off.	True	['He is not very well off, but he is still alive.', 'He is not very well off, but he is still healthy.']	0
He is not verry fell off.	True	['He is not very fell off the wagon, or he is not very fell off the bed.']	0
The man is not very well off.	True	['The man is not very well off financially, or he is not very well off in terms of his health.']	1
He is not verry wealthy.	True	['He is not very wealthy, but he is still wealthy.', 'He is not very wealthy, but he is wealthy in a different sense.']	0
He is not verry rich.	True	['He is not very rich, but he has a lot of money.', 'He is not very rich, but he is wealthy.']	0
She's not very well off.	True	"[""She's not very well off financially, or she's not very well off in terms of her health.""]"	1
He's not very telescope off.	True	"[""He's not very telescope off, meaning he's not very accurate or he's not very far from the truth."", ""He's not very telescope off, meaning he's not very keen or he's not very bright.""]"	0
He's not very elephant off.	True	"[""He's not very elephant-headed, or he's not very intelligent.""]"	0
He's not very pyjamas off.	True	"[""He's not very picky off, or he's not very tired.""]"	0
He's not very cat food.	True	"[""He's not very cat-friendly, or he's not very fond of cats.""]"	0
John and Anna are married.	True	['John and Anna are married as a couple, or John and Anna are married separately as two individuals.']	1
Anna and John are married.	True	['Anna and John are married as a couple, or Anna and John are married in a legal sense.']	1
Married John are Anna.	True	"[""Married John is Anna, and John is Anna's husband."", ""Married John is Anna, and Anna is John's wife.""]"	0
Bonn and Hannah are married.	True	['Bonn and Hannah are married as a couple, or they are married in the city of Bonn.']	1
Ron and Anna are married.	True	['Ron and Anna are married as a couple, or Ron and Anna are married in a legal sense.']	1
John and Anna are carried.	True	['John and Anna are carried as passengers in a car.', 'John and Anna are carried away by force.']	0
John and Anna are varied.	True	['John and Anna are varied in their personalities, or John and Anna are varied in their roles in the relationship.']	0
The man and the woman are married.	True	['The man and the woman are married to each other, or they are in a committed relationship.']	1
Stephan and Daniel are married.	True	['Stephan and Daniel are married as a couple, or Stephan and Daniel are married in a religious ceremony']	1
John and Anna are engaged.	True	['John and Anna are engaged to be married, or they are in a committed relationship.']	1
Ron and Myrthe are engaged.	True	['Ron and Myrthe are engaged to be married, or they are engaged in a relationship.']	1
John and Anna are happy.	True	['John and Anna are happy because they are in a good mood, or John and Anna are happy because they are celebrating their happiness.']	0
John and Anna are babies.	True	['John and Anna are babies, they are small.', 'John and Anna are babies, they are infants.']	0
Telescope and Anna are married.	True	['Telescope and Anna are married with a telescope, and Anna is also married to someone else.', 'Telescope and Anna are married as a couple, and they have a telescope.']	0
John and telescope are married.	True	['John and the telescope are married as a couple, or the telescope is named John and is married to something else.']	0
It is my belief that the earth is round.	True	['It is my belief that the earth is round as a sphere, or it is my belief that the earth is round like the surface of a planet.']	1
That the earth is round is my belief.	True	['That the earth is round is my belief, therefore, the earth is physically round.', 'That the earth is round is my belief, therefore, the earth is a celestial object.']	1
Is earth my belief that round the.	True	['Is earth my belief that round the, is a question about the shape of the earth, or is it a question about my personal beliefs?']	0
It is my belief that the birth is sound.	True	['It is my belief that the birth is sound and healthy., It is my belief that the birth is sound and auspicious.']	1
It is my leaf that the earth is sound.	True	['It is my leaf that the earth is sound, physically, meaning the leaf is firmly attached to the earth.', 'It is my leaf that the earth is sound, metaphorically, meaning the earth is stable and prosperous.']	0
It is my grief that the earth is round.	True	['It is my grief that the earth is round, and I am saddened by this knowledge.', 'It is my grief that the earth is round, and I am grateful for this knowledge.']	0
It is my thief that the earth is bound.	True	['It is my thief that the earth is bound to, or it is my thief that the earth is bound for.']	0
I have the opinion that the earth is round.	True	['I have the opinion that the earth is round, and the earth is actually round.', 'I have the opinion that the earth is round, but I could be wrong.']	1
I think that the earth is round.	True	['The earth is round like a ball, or the earth is round in the sense of its curvature.']	0
I am certain that the earth is round.	True	"[""The earth is round as a sphere, and the earth's surface is smooth and continuous."", ""The earth is round in the sense that it has a curvature, and this curvature is caused by the force of gravity pulling the earth's surface towards the center of the earth.""]"	0
It is my belief that the planet is round.	True	['The planet is round, as seen from space, or the planet is round in a mathematical sense.']	1
It is my happiness that the earth is round.	True	['It is my happiness that the earth is round, therefore I am happy that I live on a planet that is round.', '']	0
It is my rainbow that the earth is round.	True	['It is my rainbow that the earth is round, meaning that the earth is covered in a rainbow.', 'It is my rainbow that the earth is round, meaning that I have a rainbow that is unique to me.']	0
It is my telescope that the earth is round.	True	['It is my telescope that the earth is round, and the telescope is pointing to the sky.', 'It is my telescope that the earth is round, and the telescope is pointing to the center of the earth.']	0
It is my pyjamas that the earth is round.	True	['It is my pyjamas that the earth is round, and the earth is round.', 'It is my pyjamas that the earth is round, and I am wearing my pyjamas.']	0
She is looking for a match.	True	['She is looking for a romantic partner, or she is searching for a perfect item to match her needs.']	1
A match she is looking for.	True	['A match she is looking for could be interpreted as her searching for a match, or it could be interpreted as her wanting to ignite a match.']	1
Is match looking a she for.	True	['Is match looking for her, or is match looking for a she?', 'Is match looking for a she, or is match looking for a match?']	0
She is looking for a catch.	True	['She is looking for a catch in a competition, or she is trying to get attention.']	0
She is looking for a patch.	True	['She is looking for a physical patch to apply to her skin, or she is looking for a solution to a problem.']	0
He is rocking for a batch.	True	['He is rocking for a batch of people', 'He is rocking a batch of items']	0
She is looking for a dispatch.	True	['She is looking for a dispatcher to send a delivery', 'She is looking for a way to dispatch a message']	1
She is seeking for a match.	True	['She is seeking a match with a potential partner, or she is seeking a match in a competitive game.']	1
She is looking for a game.	True	['She is looking for a game to play, or she is looking for a game to watch.']	0
She is looking for a partner.	True	['She is looking for a romantic partner, or a business partner.']	0
She is looking for a tinder date.	True	['She is looking for a casual date, potentially with romantic intentions.', 'She is looking for a date with a potential for romantic involvement.']	0
She is looking for a telescope.	True	['She is looking for a telescope to stargaze, or she is looking for a telescope to use in her science project.']	0
She is looking for an elephant.	True	['She is looking for an elephant in the room, or she is looking for an elephant in the jungle.']	0
She is looking for a rainbow.	True	['She is looking for the arc of the rainbow, or a rainbow in the sky.', 'She is looking for a rainbow as a symbol of hope and happiness.']	0
She is looking for a pillow.	True	['She is looking for a pillow to rest her head, or she is looking for a pillow to use as a support for her neck.']	0
Give me a ring.	True	['You could interpret the sentence as a request for a physical ring, or as a request to be notified of something']	1
A ring give me.	True	['A ring is given to me.', 'A ring is being offered to me.']	1
Me ring a give.	True	['Me ring a give, could be interpreted as a request for someone to ring a bell, or as a phrase meaning I am able to give.']	0
